Time,Cell
89.91,1
117.213,1
144.515,1
175.719,1
210.822,1
245.926,1
281.031,1
318.088,1
362.939,1
398.044,1
438.997,1
487.753,1
698.375,1
727.627,1
760.782,1
819.288,1
854.392,1
897.297,1
932.401,1
975.304,1
1026.01,1
1334.143,1
1369.247,1
1406.301,1
1445.305,1
1486.259,1
1535.014,1
1572.069,1
1876.302,1
1911.406,1
1946.509,1
409.695,2
530.608,2
546.21,2
674.924,2
710.027,2
749.032,2
873.845,2
988.903,2
1086.413,2
1127.372,2
1205.381,2
1244.385,2
1347.745,2
1743.638,2
1794.344,2
1809.945,2
1880.153,2
1895.755,2
1973.763,2
4.003,3
29.356,3
50.807,3
70.309,3
93.712,3
109.316,3
140.517,3
160.019,3
179.522,3
202.91,3
238.028,3
257.529,3
280.932,3
304.334,3
366.729,3
386.243,3
413.547,3
448.651,3
475.954,3
550.062,3
571.514,3
604.667,3
631.97,3
717.78,3
737.281,3
760.683,3
854.293,3
877.697,3
944.003,3
967.406,3
1100.021,3
1123.423,3
1146.824,3
1291.14,3
1310.642,3
1490.062,3
1513.464,3
1536.867,3
1564.17,3
1669.482,3
1694.839,3
1876.203,3
1895.705,3
1923.008,3
3.954,4
58.56,4
76.111,4
93.663,4
113.165,4
132.667,4
154.121,4
202.873,4
222.377,4
249.68,4
288.684,4
343.29,4
366.69,4
440.8,4
464.203,4
562.699,4
581.216,4
659.224,4
682.626,4
760.635,4
799.639,4
885.449,4
912.75,4
1080.469,4
1099.971,4
1135.076,4
1158.477,4
1376.901,4
1402.252,4
1427.606,4
1454.909,4
1634.328,4
1660.494,4
1725.989,4
0.003,5
39.007,5
87.758,5
105.314,5
124.817,5
140.418,5
183.323,5
226.228,5
241.829,5
261.331,5
323.738,5
339.341,5
421.248,5
442.701,5
454.402,5
555.813,5
567.514,5
585.067,5
647.473,5
663.076,5
715.729,5
731.33,5
819.091,5
834.692,5
865.896,5
885.4,5
986.808,5
1004.361,5
1057.016,5
1076.519,5
1127.225,5
1150.627,5
1170.129,5
1322.245,5
1337.847,5
1476.31,5
1488.013,5
1505.565,5
1548.469,5
1677.183,5
1739.59,5
1759.092,5
1868.303,5
1887.806,5
171.571,6
187.172,6
206.675,6
222.278,6
237.877,6
296.384,6
311.986,6
393.895,6
409.497,6
436.8,6
456.301,6
499.207,6
608.418,6
643.522,6
663.023,6
737.131,6
760.533,6
791.738,6
856.093,6
951.655,6
971.157,6
1092.07,6
1201.282,6
1248.087,6
1314.392,6
1341.697,6
1372.899,6
1411.904,6
1447.008,6
1517.215,6
1645.929,6
1673.232,6
1716.137,6
1899.457,6
1942.361,6
58.41,7
79.862,7
101.314,7
120.817,7
144.219,7
167.621,7
194.925,7
226.123,7
257.331,7
288.535,7
319.738,7
358.742,7
401.647,7
444.551,7
487.456,7
530.36,7
577.166,7
620.07,7
666.875,7
725.381,7
768.273,7
815.091,7
877.498,7
928.204,7
994.51,7
1056.917,7
1107.622,7
1175.88,7
1259.739,7
1322.145,7
1552.27,7
1591.274,7
1692.685,7
1755.092,7
1891.606,7
1954.013,7
89.564,8
105.166,8
196.826,8
208.527,8
288.486,8
304.088,8
423.046,8
436.7,8
499.108,8
514.71,8
592.718,8
612.221,8
635.623,8
655.124,8
721.432,8
740.934,8
768.236,8
838.445,8
857.946,8
932.055,8
951.556,8
1006.163,8
1025.664,8
1052.968,8
1086.12,8
1130.976,8
1169.986,8
1193.382,8
1263.59,8
1279.191,8
1384.503,8
1405.958,8
1431.308,8
1517.117,8
1540.519,8
1618.528,8
1638.031,8
1669.233,8
1762.844,8
1780.396,8
1809.649,8
1842.803,8
1868.155,8
1930.561,8
