Time,Cell
53.637,1
69.546,1
87.443,1
105.341,1
125.227,1
147.102,1
166.987,1
184.886,1
206.76,1
268.408,1
286.305,1
461.303,1
473.233,1
491.131,1
509.033,1
793.401,1
809.311,1
823.231,1
839.14,1
855.05,1
874.936,1
1290.556,1
1306.463,1
1320.385,1
1342.26,1
1358.169,1
1384.02,1
1403.909,1
1839.414,1
1853.333,1
1869.243,1
1891.118,1
1914.98,1
1932.878,1
1952.764,1
1980.623,1
2002.48,1
111.372,2
133.249,2
161.088,2
188.929,2
459.38,2
479.265,2
501.14,2
523.015,2
743.751,2
761.649,2
781.534,2
803.395,2
827.273,2
859.091,2
888.92,2
1099.713,2
1119.6,2
1141.474,2
1163.35,2
1189.201,2
1217.049,2
1240.906,2
1276.7,2
1302.553,2
1336.361,2
1610.788,2
1628.684,2
1650.56,2
1678.409,2
1700.276,2
1970.726,2
1988.631,2
2008.511,2
0.048,3
25.927,3
55.756,3
69.676,3
87.574,3
123.369,3
135.3,3
151.209,3
163.141,3
177.062,3
244.673,3
258.594,3
272.514,3
286.435,3
326.208,3
342.116,3
352.06,3
437.57,3
550.92,3
566.83,3
696.09,3
708.021,3
719.952,3
815.407,3
940.69,3
956.598,3
970.516,3
1079.892,3
1320.515,3
1336.425,3
1672.499,3
1700.34,3
1738.116,3
1752.045,3
1823.635,3
1849.487,3
10.082,4
29.968,4
550.985,4
1702.399,4
1748.132,4
1841.596,4
77.76,5
97.646,5
115.546,5
139.407,5
159.293,5
179.179,5
201.056,5
224.918,5
246.792,5
268.667,5
295.523,5
314.405,5
342.247,5
364.121,5
389.973,5
415.825,5
457.602,5
479.46,5
507.301,5
537.131,5
624.629,5
652.47,5
680.311,5
839.4,5
857.298,5
881.161,5
907.013,5
932.865,5
960.705,5
992.523,5
1040.25,5
1076.045,5
1097.92,5
1298.77,5
1328.595,5
1360.417,5
1398.201,5
1433.996,5
1467.803,5
1746.208,5
1778.026,5
1813.821,5
1845.639,5
1877.458,5
183.222,6
203.113,6
221.006,6
246.858,6
272.71,6
292.596,6
467.593,6
485.491,6
507.366,6
527.252,6
557.082,6
584.917,6
608.785,6
771.851,6
789.748,6
811.624,6
835.471,6
861.34,6
887.191,6
907.077,6
1115.881,6
1135.769,6
1157.646,6
1177.53,6
1340.595,6
1362.472,6
1382.357,6
1406.219,6
1430.084,6
1469.856,6
1495.707,6
1513.605,6
1539.45,6
1565.309,6
1630.932,6
1668.717,6
1694.569,6
1734.341,6
1772.124,6
1795.989,6
1980.929,6
2001.82,6
2.323,7
36.121,7
61.982,7
87.834,7
113.686,7
139.537,7
171.355,7
199.191,7
233.002,7
332.433,7
352.321,7
380.16,7
408.001,7
439.818,7
469.648,7
618.794,7
644.646,7
676.463,7
712.267,7
748.053,7
956.858,7
984.699,7
1014.529,7
1046.345,7
1181.572,7
1334.695,7
1360.547,7
1390.375,7
1422.194,7
1463.955,7
1595.205,7
1623.045,7
1652.874,7
1945.2,7
1973.041,7
1998.893,7
167.435,8
179.375,8
231.099,8
246.988,8
328.521,8
354.374,8
370.284,8
392.157,8
408.066,8
427.953,8
620.848,8
634.768,8
648.688,8
676.528,8
690.451,8
855.503,8
869.425,8
885.333,8
980.787,8
996.696,8
1012.605,8
1139.876,8
1151.808,8
1263.172,8
1277.091,8
1294.988,8
1312.888,8
1330.783,8
1442.146,8
1456.066,8
1471.975,8
1489.872,8
1515.724,8
1621.121,8
1637.03,8
1658.905,8
1740.438,8
1756.347,8
1784.188,8
1810.04,8
1885.607,8
1907.482,8
1943.277,8
1961.174,8
1983.049,8
2.452,9
24.328,9
42.225,9
87.963,9
103.87,9
123.758,9
217.223,9
231.153,9
253.018,9
272.904,9
290.793,9
314.665,9
334.551,9
352.451,9
376.312,9
431.993,9
449.891,9
481.706,9
501.594,9
521.483,9
543.356,9
692.504,9
708.411,9
725.146,9
744.207,9
766.081,9
925.17,9
941.079,9
958.977,9
986.817,9
999.785,9
1006.702,9
1024.601,9
1060.396,9
1098.177,9
1120.054,9
1175.734,9
1195.62,9
1239.37,9
1261.247,9
1289.088,9
1314.94,9
1507.834,9
1523.751,9
1541.639,9
1561.526,9
1684.821,9
1700.729,9
1718.625,9
1790.218,9
1810.105,9
1835.956,9
1855.841,9
1877.718,9
2002.998,9
229.221,10
247.117,10
350.526,10
362.458,10
491.717,10
509.608,10
523.536,10
577.219,10
591.148,10
611.034,10
654.783,10
670.691,10
688.591,10
748.249,10
869.554,10
885.463,10
1016.711,10
1038.583,10
1217.562,10
1235.459,10
1285.176,10
1330.913,10
1348.81,10
1474.092,10
1488.014,10
1505.911,10
1579.49,10
1597.386,10
1794.261,10
1883.748,10
1905.623,10
1927.497,10
1943.405,10
1959.314,10
82.129,11
98.037,11
113.946,11
133.833,11
304.853,11
320.762,11
342.632,11
362.523,11
485.817,11
507.692,11
527.578,11
549.454,11
589.222,11
628.998,11
762.235,11
786.098,11
809.962,11
833.825,11
861.666,11
893.484,11
927.29,11
1084.391,11
1104.277,11
1124.163,11
1152.004,11
1177.855,11
1309.103,11
1330.979,11
1356.832,11
1390.637,11
1531.829,11
1551.715,11
1575.579,11
1682.964,11
1702.843,11
1728.702,11
1752.565,11
1883.814,11
1905.689,11
1931.541,11
16.57,12
42.421,12
62.308,12
84.182,12
108.046,12
129.921,12
149.807,12
171.681,12
193.556,12
215.431,12
237.306,12
259.18,12
283.044,12
320.828,12
357.266,12
384.463,12
408.327,12
434.179,12
460.031,12
491.848,12
519.689,12
547.531,12
573.382,12
609.176,12
633.041,12
664.863,12
690.71,12
839.857,12
863.72,12
881.617,12
909.458,12
937.298,12
965.139,12
990.991,12
1209.739,12
1231.613,12
1255.477,12
1281.329,12
1302.555,12
1337.01,12
1432.463,12
1508.031,12
1545.815,12
1651.211,12
1681.04,12
1708.881,12
1736.722,12
1774.504,12
1814.28,12
1844.107,12
1945.526,12
1981.318,12
24.589,13
42.487,13
62.373,13
82.259,13
101.131,13
120.025,13
135.952,13
153.849,13
173.735,13
195.61,13
263.223,13
281.12,13
299.014,13
388.506,13
406.421,13
424.301,13
446.174,13
466.062,13
487.936,13
513.788,13
579.413,13
597.311,13
710.661,13
736.513,13
762.365,13
837.934,13
863.785,13
885.659,13
909.523,13
969.181,13
989.067,13
1012.931,13
1164.066,13
1187.929,13
1207.815,13
1241.622,13
1307.246,13
1333.098,13
1358.95,13
1384.805,13
1416.619,13
1452.415,13
1583.663,13
1643.322,13
1663.208,13
1695.023,13
1738.775,13
1923.717,13
1943.603,13
1979.398,13
2007.238,13
88.29,14
106.188,14
124.085,14
145.96,14
165.846,14
187.721,14
209.596,14
233.459,14
318.969,14
340.844,14
378.627,14
402.494,14
497.945,14
519.819,14
545.671,14
579.478,14
611.296,14
653.056,14
704.761,14
