model,model_score,SagVoltageTest,RestingVoltageTest,InputResistanceTest,MembraneTimeConstantTest,CellCapacitanceTest,ReboundSpikingTest,Passive Score,AfterHyperpolarizationAmplitudeTest,AfterHyperpolarizationTimeTest,SpikeAmplitudeTest,SpikeHalfWidthTest,SpikePeakTest,SpikeThresholdTest,RheobaseTest,FISlopeTest,SpikeAccommodationTest,SpikeAccommodationTimeConstantTest,ISICVTest
prev_ob_models.RubinCleland2006.isolated_cells.MC,10.65,2.63,0.90,-2.03,-1.69,1.36,0.50,4.10,3.59,-1.54,3.65,-3.38,4.05,0.49,4.92,-2.58,-0.21,2.96,-0.68
prev_ob_models.Migliore2014bulb3d.isolated_cells.MC,10.91,0.74,0.52,-1.94,-1.90,-0.27,0.00,2.87,1.09,-1.46,3.13,1.51,2.94,-0.38,8.37,-2.58,-0.13,2.95,-1.07
prev_ob_models.Migliore2015operators.isolated_cells.MC,10.29,0.74,0.52,-1.89,-1.81,0.04,0.00,2.77,1.45,-1.46,3.19,1.00,3.06,-0.25,7.54,-2.58,-0.14,2.94,-1.07
prev_ob_models.Chen2002.isolated_cells.MC,4.52,0.74,0.97,0.38,-0.67,-0.51,0.00,1.53,-0.03,-1.42,0.42,-2.13,0.00,-0.71,-1.40,2.55,-0.06,-0.95,-1.19
prev_ob_models.Oconnor2012.isolated_cells.MC3,12.22,0.74,0.47,-1.60,-2.04,-1.52,0.00,3.13,-1.27,-1.42,1.74,6.62,3.50,2.39,7.09,-2.58,-2.20,2.95,-0.80
prev_ob_models.Davison2000.isolated_cells.MC,9.17,0.77,0.83,-0.11,3.71,5.11,0.00,6.41,1.27,-1.38,0.62,-4.63,1.57,1.42,0.26,-1.53,-0.02,3.07,-1.15
prev_ob_models.David2008.isolated_cells.MC,8.63,0.80,0.84,-0.10,3.59,4.88,0.00,6.17,1.35,-1.38,0.06,-4.00,1.19,1.49,0.17,-1.53,-0.02,3.07,-1.15
prev_ob_models.Oconnor2012.isolated_cells.MC2,10.64,0.74,0.49,-1.15,-1.89,-1.36,0.00,2.74,-1.46,-1.38,2.54,6.92,3.37,1.26,2.45,-2.18,-0.06,4.72,-1.20
prev_ob_models.BhallaBower1993.isolated_cells.MC,6.91,0.79,0.80,-0.96,0.67,3.49,0.00,3.85,0.27,-1.34,0.79,-3.49,1.37,0.80,1.82,-1.26,-0.01,3.09,-1.15
prev_ob_models.KaplanLansner2014.isolated_cells.MC,8.81,0.80,0.84,-0.12,3.72,5.11,0.00,6.42,1.31,-1.34,0.08,-4.11,0.86,1.44,0.23,-1.53,-0.02,3.07,-1.15
prev_ob_models.Shen1999.isolated_cells.MC,6.79,0.74,0.33,0.25,-0.32,-0.07,0.00,0.91,0.85,-1.34,-0.63,-2.65,-0.13,0.60,0.87,4.92,-0.06,2.94,-1.19
