Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,1.056,10,0.003,2.303,-5.750
10,1,20,0.763,20,7.958E-4,2.996,-7.136
20,1,30,1.333,30,3.537E-4,3.401,-7.947
30,1,40,1.860,40,3.979E-4,3.689,-7.829
40,2,50,2.025,50,2.546E-4,3.912,-8.276
50,2,60,1.913,60,1.768E-4,4.094,-8.640
60,2,70,1.750,70,1.299E-4,4.248,-8.949
70,2,80,1.682,80,4.974E-5,4.382,-9.909
80,1,90,1.689,90,7.860E-5,4.500,-9.451
90,2,100,1.627,100,6.366E-5,4.605,-9.662
100,2,110,1.379,110,2.631E-5,4.700,-10.546
110,1,120,1.018,120,2.210E-5,4.787,-10.720
120,1,130,0.842,130,1.883E-5,4.868,-10.880
130,1,140,1.074,140,1.624E-5,4.942,-11.028
140,1,150,0.989,150,1.415E-5,5.011,-11.166
150,1,NaN,NaN,NaN,NaN,NaN,NaN
