Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,2.088,10,4.775E-4,2.303,-7.647
10,2,20,2.666,20,8.952E-5,2.996,-9.321
20,3,30,2.364,30,1.768E-5,3.401,-10.943
30,2,40,1.783,40,7.460E-6,3.689,-11.806
40,2,50,1.260,50,1.910E-6,3.912,-13.168
50,1,60,0.945,60,1.105E-6,4.094,-13.715
60,1,70,0.871,70,6.960E-7,4.248,-14.178
70,1,80,1.001,80,4.663E-7,4.382,-14.578
80,1,90,1.261,90,3.275E-7,4.500,-14.932
90,1,100,1.573,100,4.775E-7,4.605,-14.555
100,2,110,1.867,110,3.587E-7,4.700,-14.841
110,2,120,2.089,120,2.763E-7,4.787,-15.102
120,2,130,2.210,130,2.173E-7,4.868,-15.342
130,2,140,2.220,140,1.740E-7,4.942,-15.564
140,2,150,2.131,150,1.415E-7,5.011,-15.771
150,2,160,1.964,160,1.166E-7,5.075,-15.965
160,2,170,1.751,170,9.718E-8,5.136,-16.147
170,2,180,1.525,180,8.187E-8,5.193,-16.318
180,2,190,1.317,190,3.481E-8,5.247,-17.173
190,1,200,1.147,200,2.984E-8,5.298,-17.327
200,1,210,1.030,210,2.578E-8,5.347,-17.474
210,1,220,0.968,220,2.242E-8,5.394,-17.613
220,1,230,0.953,230,1.962E-8,5.438,-17.747
230,1,240,0.971,240,1.727E-8,5.481,-17.874
240,1,250,1.003,250,1.528E-8,5.521,-17.997
250,1,260,1.030,260,1.358E-8,5.561,-18.114
260,1,270,1.040,270,1.213E-8,5.598,-18.228
270,1,280,1.027,280,1.088E-8,5.635,-18.337
280,1,290,0.996,290,9.789E-9,5.670,-18.442
290,1,300,0.963,300,8.842E-9,5.704,-18.544
300,1,310,0.951,310,8.014E-9,5.737,-18.642
310,1,320,0.975,320,7.286E-9,5.768,-18.737
320,1,330,1.031,330,6.643E-9,5.799,-18.830
330,1,340,1.070,340,6.074E-9,5.829,-18.919
340,1,350,0.957,350,5.568E-9,5.858,-19.006
350,1,NaN,NaN,NaN,NaN,NaN,NaN
