Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,4,10,1.991,10,0.006,2.303,-5.057
10,2,20,2.023,20,0.002,2.996,-6.443
20,2,30,1.775,30,7.074E-4,3.401,-7.254
30,2,40,1.402,40,1.989E-4,3.689,-8.522
40,1,50,1.049,50,1.273E-4,3.912,-8.969
50,1,60,0.821,60,8.842E-5,4.094,-9.333
60,1,70,0.768,70,6.496E-5,4.248,-9.642
70,1,80,0.885,80,4.974E-5,4.382,-9.909
80,1,90,1.130,90,3.930E-5,4.500,-10.144
90,1,100,1.435,100,3.183E-5,4.605,-10.355
100,1,110,1.729,110,5.261E-5,4.700,-9.853
110,2,120,1.954,120,4.421E-5,4.787,-10.027
120,2,130,2.074,130,3.767E-5,4.868,-10.187
130,2,140,2.086,140,3.248E-5,4.942,-10.335
140,2,150,2.016,150,2.829E-5,5.011,-10.473
150,2,160,1.914,160,2.487E-5,5.075,-10.602
160,2,170,1.841,170,2.203E-5,5.136,-10.723
170,2,180,1.854,180,1.965E-5,5.193,-10.837
180,2,190,1.984,190,1.763E-5,5.247,-10.946
190,2,200,2.224,200,1.592E-5,5.298,-11.048
200,2,210,2.515,210,1.444E-5,5.347,-11.146
210,2,220,2.749,220,1.973E-5,5.394,-10.833
220,3,230,2.782,230,1.805E-5,5.438,-10.922
230,3,240,2.474,240,1.658E-5,5.481,-11.007
240,3,250,1.763,250,5.093E-6,5.521,-12.188
250,1,260,0.762,260,4.709E-6,5.561,-12.266
260,1,NaN,NaN,NaN,NaN,NaN,NaN
