Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.069,10,2.387E-4,2.303,-8.340
10,1,20,0.848,20,2.984E-5,2.996,-10.420
20,1,30,0.965,30,8.842E-6,3.401,-11.636
30,1,40,1.098,40,3.730E-6,3.689,-12.499
40,1,50,1.133,50,1.910E-6,3.912,-13.168
50,1,60,1.071,60,1.105E-6,4.094,-13.715
60,1,70,0.960,70,6.960E-7,4.248,-14.178
70,1,80,0.863,80,4.663E-7,4.382,-14.578
80,1,90,0.828,90,3.275E-7,4.500,-14.932
90,1,100,0.878,100,2.387E-7,4.605,-15.248
100,1,110,1.015,110,1.794E-7,4.700,-15.534
110,1,120,1.219,120,1.382E-7,4.787,-15.795
120,1,130,1.462,130,1.087E-7,4.868,-16.035
130,1,140,1.709,140,1.740E-7,4.942,-15.564
140,2,150,1.934,150,1.415E-7,5.011,-15.771
150,2,160,2.119,160,1.166E-7,5.075,-15.965
160,2,170,2.257,170,9.718E-8,5.136,-16.147
170,2,180,2.352,180,1.228E-7,5.193,-15.913
180,3,190,2.417,190,1.044E-7,5.247,-16.075
190,3,200,2.461,200,5.968E-8,5.298,-16.634
200,2,210,2.488,210,5.156E-8,5.347,-16.781
210,2,220,2.487,220,4.484E-8,5.394,-16.920
220,2,230,2.432,230,5.886E-8,5.438,-16.648
230,3,240,2.286,240,3.454E-8,5.481,-17.181
240,2,250,2.014,250,4.584E-8,5.521,-16.898
250,3,260,1.613,260,1.358E-8,5.561,-18.114
260,1,270,1.155,270,1.213E-8,5.598,-18.228
270,1,280,0.866,280,1.088E-8,5.635,-18.337
280,1,NaN,NaN,NaN,NaN,NaN,NaN
