Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.026,10,2.387E-4,2.303,-8.340
10,1,20,0.845,20,2.984E-5,2.996,-10.420
20,1,30,1.322,30,8.842E-6,3.401,-11.636
30,1,40,1.769,40,7.460E-6,3.689,-11.806
40,2,50,1.970,50,3.820E-6,3.912,-12.475
50,2,60,2.001,60,2.210E-6,4.094,-13.022
60,2,70,2.047,70,1.392E-6,4.248,-13.485
70,2,80,2.261,80,9.325E-7,4.382,-13.885
80,2,90,2.671,90,9.824E-7,4.500,-13.833
90,3,100,3.168,100,7.162E-7,4.605,-14.149
100,3,110,3.540,110,7.175E-7,4.700,-14.148
110,4,120,3.567,120,4.145E-7,4.787,-14.696
120,3,130,3.134,130,3.260E-7,4.868,-14.936
130,3,140,2.326,140,2.610E-7,4.942,-15.159
140,3,150,1.448,150,7.074E-8,5.011,-16.464
150,1,160,0.924,160,5.828E-8,5.075,-16.658
160,1,170,0.974,170,4.859E-8,5.136,-16.840
170,1,180,1.008,180,4.093E-8,5.193,-17.011
180,1,NaN,NaN,NaN,NaN,NaN,NaN
