Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,3.147,10,7.162E-4,2.303,-7.242
10,3,20,2.648,20,8.952E-5,2.996,-9.321
20,3,30,2.182,30,1.768E-5,3.401,-10.943
30,2,40,1.762,40,7.460E-6,3.689,-11.806
40,2,50,1.408,50,1.910E-6,3.912,-13.168
50,1,60,1.136,60,1.105E-6,4.094,-13.715
60,1,70,0.954,70,6.960E-7,4.248,-14.178
70,1,80,0.858,80,4.663E-7,4.382,-14.578
80,1,90,0.838,90,3.275E-7,4.500,-14.932
90,1,100,0.874,100,2.387E-7,4.605,-15.248
100,1,110,0.943,110,1.794E-7,4.700,-15.534
110,1,120,1.021,120,1.382E-7,4.787,-15.795
120,1,130,1.086,130,1.087E-7,4.868,-16.035
130,1,140,1.124,140,8.700E-8,4.942,-16.257
140,1,150,1.127,150,7.074E-8,5.011,-16.464
150,1,160,1.095,160,5.828E-8,5.075,-16.658
160,1,170,1.039,170,4.859E-8,5.136,-16.840
170,1,180,0.974,180,4.093E-8,5.193,-17.011
180,1,190,0.921,190,3.481E-8,5.247,-17.173
190,1,200,0.902,200,2.984E-8,5.298,-17.327
200,1,210,0.935,210,2.578E-8,5.347,-17.474
210,1,220,1.032,220,2.242E-8,5.394,-17.613
220,1,230,1.195,230,3.924E-8,5.438,-17.054
230,2,240,1.410,240,1.727E-8,5.481,-17.874
240,1,250,1.651,250,1.528E-8,5.521,-17.997
250,1,260,1.877,260,2.717E-8,5.561,-17.421
260,2,270,2.040,270,2.426E-8,5.598,-17.535
270,2,280,2.092,280,2.175E-8,5.635,-17.644
280,2,290,2.000,290,1.958E-8,5.670,-17.749
290,2,300,1.767,300,1.768E-8,5.704,-17.851
300,2,310,1.465,310,1.603E-8,5.737,-17.949
310,2,320,1.267,320,7.286E-9,5.768,-18.737
320,1,330,1.504,330,6.643E-9,5.799,-18.830
330,1,340,2.725,340,1.822E-8,5.829,-17.821
340,3,NaN,NaN,NaN,NaN,NaN,NaN
