Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,2.390,10,7.162E-4,2.303,-7.242
10,3,20,2.945,20,5.968E-5,2.996,-9.726
20,2,30,3.407,30,2.653E-5,3.401,-10.537
30,3,40,3.619,40,1.119E-5,3.689,-11.400
40,3,50,3.551,50,9.549E-6,3.912,-11.559
50,5,60,3.247,60,6.631E-6,4.094,-11.924
60,6,70,2.784,70,6.960E-7,4.248,-14.178
70,1,80,2.247,80,4.663E-7,4.382,-14.578
80,1,90,1.714,90,3.275E-7,4.500,-14.932
90,1,100,1.241,100,2.387E-7,4.605,-15.248
100,1,110,0.868,110,1.794E-7,4.700,-15.534
110,1,120,0.614,120,1.382E-7,4.787,-15.795
120,1,130,0.485,130,1.087E-7,4.868,-16.035
130,1,140,0.474,140,8.700E-8,4.942,-16.257
140,1,150,0.571,150,7.074E-8,5.011,-16.464
150,1,160,0.762,160,5.828E-8,5.075,-16.658
160,1,170,1.035,170,4.859E-8,5.136,-16.840
170,1,180,1.378,180,4.093E-8,5.193,-17.011
180,1,190,1.782,190,3.481E-8,5.247,-17.173
190,1,200,2.233,200,2.984E-8,5.298,-17.327
200,1,210,2.714,210,5.156E-8,5.347,-16.781
210,2,220,3.198,220,8.968E-8,5.394,-16.227
220,4,230,3.648,230,1.177E-7,5.438,-15.955
230,6,240,4.011,240,6.908E-8,5.481,-16.488
240,4,250,4.227,250,6.112E-8,5.521,-16.611
250,4,260,4.233,260,5.433E-8,5.561,-16.728
260,4,270,3.978,270,3.639E-8,5.598,-17.129
270,3,280,3.449,280,3.263E-8,5.635,-17.238
280,3,290,2.709,290,2.937E-8,5.670,-17.343
290,3,300,1.945,300,2.653E-8,5.704,-17.445
300,3,310,1.543,310,8.014E-9,5.737,-18.642
310,1,NaN,NaN,NaN,NaN,NaN,NaN
