Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,9,10,7.378,10,0.002,2.303,-6.394
10,7,20,4.958,20,1.790E-4,2.996,-8.628
20,6,30,3.466,30,2.653E-5,3.401,-10.537
30,3,40,2.567,40,7.460E-6,3.689,-11.806
40,2,50,2.028,50,3.820E-6,3.912,-12.475
50,2,60,1.696,60,2.210E-6,4.094,-13.022
60,2,70,1.478,70,1.392E-6,4.248,-13.485
70,2,80,1.318,80,4.663E-7,4.382,-14.578
80,1,90,1.189,90,3.275E-7,4.500,-14.932
90,1,100,1.082,100,2.387E-7,4.605,-15.248
100,1,110,0.996,110,1.794E-7,4.700,-15.534
110,1,120,0.935,120,1.382E-7,4.787,-15.795
120,1,130,0.901,130,1.087E-7,4.868,-16.035
130,1,140,0.895,140,8.700E-8,4.942,-16.257
140,1,150,0.916,150,7.074E-8,5.011,-16.464
150,1,160,0.957,160,5.828E-8,5.075,-16.658
160,1,170,1.010,170,4.859E-8,5.136,-16.840
170,1,180,1.065,180,4.093E-8,5.193,-17.011
180,1,190,1.113,190,3.481E-8,5.247,-17.173
190,1,200,1.142,200,2.984E-8,5.298,-17.327
200,1,210,1.147,210,2.578E-8,5.347,-17.474
210,1,220,1.124,220,2.242E-8,5.394,-17.613
220,1,230,1.072,230,1.962E-8,5.438,-17.747
230,1,240,0.998,240,1.727E-8,5.481,-17.874
240,1,250,0.909,250,1.528E-8,5.521,-17.997
250,1,260,0.820,260,1.358E-8,5.561,-18.114
260,1,270,0.746,270,1.213E-8,5.598,-18.228
270,1,280,0.706,280,1.088E-8,5.635,-18.337
280,1,290,0.718,290,9.789E-9,5.670,-18.442
290,1,300,0.797,300,8.842E-9,5.704,-18.544
300,1,310,0.957,310,8.014E-9,5.737,-18.642
310,1,320,1.203,320,7.286E-9,5.768,-18.737
320,1,330,1.533,330,6.643E-9,5.799,-18.830
330,1,340,1.936,340,6.074E-9,5.829,-18.919
340,1,350,2.390,350,5.568E-9,5.858,-19.006
350,1,360,2.862,360,1.535E-8,5.886,-17.992
360,3,370,3.308,370,2.357E-8,5.914,-17.563
370,5,380,3.679,380,2.175E-8,5.940,-17.643
380,5,390,3.917,390,1.610E-8,5.966,-17.945
390,4,400,3.972,400,1.492E-8,5.991,-18.021
400,4,410,3.799,410,1.039E-8,6.016,-18.382
410,3,420,3.377,420,9.667E-9,6.040,-18.455
420,3,430,2.719,430,9.008E-9,6.064,-18.525
430,3,440,1.893,440,2.803E-9,6.087,-19.693
440,1,450,1.042,450,2.620E-9,6.109,-19.760
450,1,460,0.410,460,2.453E-9,6.131,-19.826
460,1,470,0.379,470,2.299E-9,6.153,-19.891
470,1,480,1.499,480,2.159E-9,6.174,-19.954
480,1,NaN,NaN,NaN,NaN,NaN,NaN
