Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,6.687,10,0.001,2.303,-6.548
10,6,20,5.137,20,1.790E-4,2.996,-8.628
20,6,30,3.833,30,4.421E-5,3.401,-10.027
30,5,40,2.780,40,7.460E-6,3.689,-11.806
40,2,50,1.969,50,1.910E-6,3.912,-13.168
50,1,60,1.380,60,1.105E-6,4.094,-13.715
60,1,70,0.987,70,6.960E-7,4.248,-14.178
70,1,80,0.759,80,4.663E-7,4.382,-14.578
80,1,90,0.663,90,3.275E-7,4.500,-14.932
90,1,100,0.666,100,2.387E-7,4.605,-15.248
100,1,110,0.737,110,1.794E-7,4.700,-15.534
110,1,120,0.846,120,1.382E-7,4.787,-15.795
120,1,130,0.969,130,1.087E-7,4.868,-16.035
130,1,140,1.084,140,8.700E-8,4.942,-16.257
140,1,150,1.175,150,7.074E-8,5.011,-16.464
150,1,160,1.232,160,5.828E-8,5.075,-16.658
160,1,170,1.248,170,4.859E-8,5.136,-16.840
170,1,180,1.224,180,4.093E-8,5.193,-17.011
180,1,190,1.163,190,3.481E-8,5.247,-17.173
190,1,200,1.073,200,2.984E-8,5.298,-17.327
200,1,210,0.966,210,2.578E-8,5.347,-17.474
210,1,220,0.856,220,2.242E-8,5.394,-17.613
220,1,230,0.759,230,1.962E-8,5.438,-17.747
230,1,240,0.692,240,1.727E-8,5.481,-17.874
240,1,250,0.671,250,1.528E-8,5.521,-17.997
250,1,260,0.712,260,1.358E-8,5.561,-18.114
260,1,270,0.828,270,1.213E-8,5.598,-18.228
270,1,280,1.027,280,1.088E-8,5.635,-18.337
280,1,290,1.312,290,9.789E-9,5.670,-18.442
290,1,300,1.683,300,8.842E-9,5.704,-18.544
300,1,310,2.129,310,8.014E-9,5.737,-18.642
310,1,320,2.632,320,1.457E-8,5.768,-18.044
320,2,330,3.165,330,2.657E-8,5.799,-17.443
330,4,340,3.689,340,3.037E-8,5.829,-17.310
340,5,350,4.156,350,3.341E-8,5.858,-17.214
350,6,360,4.503,360,1.535E-8,5.886,-17.992
360,3,370,4.657,370,1.885E-8,5.914,-17.787
370,4,380,4.530,380,1.740E-8,5.940,-17.867
380,4,390,4.022,390,1.610E-8,5.966,-17.945
390,4,400,3.016,400,1.492E-8,5.991,-18.021
400,4,410,1.386,410,3.464E-9,6.016,-19.481
410,1,NaN,NaN,NaN,NaN,NaN,NaN
