Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,1.124,10,0.003,2.303,-5.750
10,1,20,0.901,20,7.958E-4,2.996,-7.136
20,1,30,0.874,30,3.537E-4,3.401,-7.947
30,1,40,0.935,40,1.989E-4,3.689,-8.522
40,1,50,1.014,50,1.273E-4,3.912,-8.969
50,1,60,1.076,60,8.842E-5,4.094,-9.333
60,1,70,1.105,70,6.496E-5,4.248,-9.642
70,1,80,1.100,80,4.974E-5,4.382,-9.909
80,1,90,1.069,90,3.930E-5,4.500,-10.144
90,1,100,1.023,100,3.183E-5,4.605,-10.355
100,1,110,0.973,110,2.631E-5,4.700,-10.546
110,1,120,0.930,120,2.210E-5,4.787,-10.720
120,1,130,0.901,130,1.883E-5,4.868,-10.880
130,1,140,0.892,140,1.624E-5,4.942,-11.028
140,1,150,0.902,150,1.415E-5,5.011,-11.166
150,1,160,0.930,160,1.243E-5,5.075,-11.295
160,1,170,0.970,170,1.101E-5,5.136,-11.416
170,1,180,1.017,180,9.824E-6,5.193,-11.531
180,1,190,1.063,190,8.817E-6,5.247,-11.639
190,1,200,1.100,200,7.958E-6,5.298,-11.741
200,1,210,1.124,210,7.218E-6,5.347,-11.839
210,1,220,1.129,220,6.577E-6,5.394,-11.932
220,1,230,1.115,230,6.017E-6,5.438,-12.021
230,1,240,1.080,240,5.526E-6,5.481,-12.106
240,1,250,1.030,250,5.093E-6,5.521,-12.188
250,1,260,0.969,260,4.709E-6,5.561,-12.266
260,1,270,0.906,270,4.366E-6,5.598,-12.342
270,1,280,0.850,280,4.060E-6,5.635,-12.414
280,1,290,0.812,290,3.785E-6,5.670,-12.484
290,1,300,0.801,300,3.537E-6,5.704,-12.552
300,1,310,0.825,310,3.312E-6,5.737,-12.618
310,1,320,0.891,320,3.108E-6,5.768,-12.681
320,1,330,1.002,330,2.923E-6,5.799,-12.743
330,1,340,1.156,340,2.754E-6,5.829,-12.803
340,1,350,1.344,350,2.598E-6,5.858,-12.861
350,1,360,1.555,360,2.456E-6,5.886,-12.917
360,1,370,1.771,370,2.325E-6,5.914,-12.972
370,1,380,1.969,380,6.613E-6,5.940,-11.926
380,3,390,2.121,390,4.186E-6,5.966,-12.384
390,2,400,2.203,400,5.968E-6,5.991,-12.029
400,3,410,2.189,410,3.787E-6,6.016,-12.484
410,2,420,2.062,420,3.609E-6,6.040,-12.532
420,2,430,1.822,430,3.443E-6,6.064,-12.579
430,2,440,1.486,440,1.644E-6,6.087,-13.318
440,1,450,1.107,450,1.572E-6,6.109,-13.363
450,1,460,0.781,460,1.504E-6,6.131,-13.407
460,1,NaN,NaN,NaN,NaN,NaN,NaN
