Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.039,10,2.387E-4,2.303,-8.340
10,1,20,1.002,20,2.984E-5,2.996,-10.420
20,1,30,0.958,30,8.842E-6,3.401,-11.636
30,1,40,0.947,40,3.730E-6,3.689,-12.499
40,1,50,0.970,50,1.910E-6,3.912,-13.168
50,1,60,1.009,60,1.105E-6,4.094,-13.715
60,1,70,1.046,70,6.960E-7,4.248,-14.178
70,1,80,1.065,80,4.663E-7,4.382,-14.578
80,1,90,1.059,90,3.275E-7,4.500,-14.932
90,1,100,1.031,100,2.387E-7,4.605,-15.248
100,1,110,0.989,110,1.794E-7,4.700,-15.534
110,1,120,0.944,120,1.382E-7,4.787,-15.795
120,1,130,0.910,130,1.087E-7,4.868,-16.035
130,1,140,0.899,140,8.700E-8,4.942,-16.257
140,1,150,0.920,150,7.074E-8,5.011,-16.464
150,1,160,0.981,160,5.828E-8,5.075,-16.658
160,1,170,1.085,170,4.859E-8,5.136,-16.840
170,1,180,1.236,180,4.093E-8,5.193,-17.011
180,1,190,1.439,190,3.481E-8,5.247,-17.173
190,1,200,1.698,200,5.968E-8,5.298,-16.634
200,2,210,2.018,210,5.156E-8,5.347,-16.781
210,2,220,2.400,220,6.726E-8,5.394,-16.515
220,3,230,2.834,230,5.886E-8,5.438,-16.648
230,3,240,3.286,240,5.181E-8,5.481,-16.776
240,3,250,3.673,250,4.584E-8,5.521,-16.898
250,3,260,3.839,260,5.433E-8,5.561,-16.728
260,4,270,3.505,270,4.852E-8,5.598,-16.841
270,4,280,2.218,280,2.175E-8,5.635,-17.644
280,2,NaN,NaN,NaN,NaN,NaN,NaN
