Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,1.030,10,0.003,2.303,-5.750
10,1,20,0.881,20,7.958E-4,2.996,-7.136
20,1,30,1.103,30,3.537E-4,3.401,-7.947
30,1,40,1.099,40,1.989E-4,3.689,-8.522
40,1,50,0.938,50,1.273E-4,3.912,-8.969
50,1,60,0.838,60,8.842E-5,4.094,-9.333
60,1,70,0.922,70,6.496E-5,4.248,-9.642
70,1,80,1.166,80,4.974E-5,4.382,-9.909
80,1,90,1.443,90,3.930E-5,4.500,-10.144
90,1,100,1.610,100,6.366E-5,4.605,-9.662
100,2,110,1.586,110,5.261E-5,4.700,-9.853
110,2,120,1.388,120,2.210E-5,4.787,-10.720
120,1,130,1.124,130,1.883E-5,4.868,-10.880
130,1,140,0.933,140,1.624E-5,4.942,-11.028
140,1,150,0.901,150,1.415E-5,5.011,-11.166
150,1,160,0.996,160,1.243E-5,5.075,-11.295
160,1,170,1.064,170,1.101E-5,5.136,-11.416
170,1,180,0.977,180,9.824E-6,5.193,-11.531
180,1,190,1.001,190,8.817E-6,5.247,-11.639
190,1,NaN,NaN,NaN,NaN,NaN,NaN
