Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.943,10,0.003,2.303,-5.750
10,1,20,1.162,20,7.958E-4,2.996,-7.136
20,1,30,0.986,30,3.537E-4,3.401,-7.947
30,1,40,0.856,40,1.989E-4,3.689,-8.522
40,1,50,0.881,50,1.273E-4,3.912,-8.969
50,1,60,1.009,60,8.842E-5,4.094,-9.333
60,1,70,1.138,70,6.496E-5,4.248,-9.642
70,1,80,1.185,80,4.974E-5,4.382,-9.909
80,1,90,1.118,90,3.930E-5,4.500,-10.144
90,1,100,0.964,100,3.183E-5,4.605,-10.355
100,1,110,0.792,110,2.631E-5,4.700,-10.546
110,1,120,0.697,120,2.210E-5,4.787,-10.720
120,1,130,0.762,130,1.883E-5,4.868,-10.880
130,1,140,1.038,140,1.624E-5,4.942,-11.028
140,1,150,1.522,150,1.415E-5,5.011,-11.166
150,1,160,2.140,160,1.243E-5,5.075,-11.295
160,1,170,2.760,170,4.406E-5,5.136,-10.030
170,4,180,3.204,180,2.947E-5,5.193,-10.432
180,3,190,3.293,190,3.527E-5,5.247,-10.252
190,4,200,2.906,200,2.387E-5,5.298,-10.643
200,3,210,2.056,210,7.218E-6,5.347,-11.839
210,1,220,1.000,220,6.577E-6,5.394,-11.932
220,1,230,0.353,230,6.017E-6,5.438,-12.021
230,1,240,1.233,240,5.526E-6,5.481,-12.106
240,1,NaN,NaN,NaN,NaN,NaN,NaN
