Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.006,10,2.387E-4,2.303,-8.340
10,1,20,0.998,20,2.984E-5,2.996,-10.420
20,1,30,0.954,30,8.842E-6,3.401,-11.636
30,1,40,1.036,40,3.730E-6,3.689,-12.499
40,1,50,1.084,50,1.910E-6,3.912,-13.168
50,1,60,0.995,60,1.105E-6,4.094,-13.715
60,1,70,0.847,70,6.960E-7,4.248,-14.178
70,1,80,0.869,80,4.663E-7,4.382,-14.578
80,1,90,1.298,90,3.275E-7,4.500,-14.932
90,1,100,2.218,100,4.775E-7,4.605,-14.555
100,2,110,3.430,110,7.175E-7,4.700,-14.148
110,4,120,4.430,120,5.526E-7,4.787,-14.409
120,4,130,4.572,130,5.433E-7,4.868,-14.426
130,5,140,3.473,140,2.610E-7,4.942,-15.159
140,3,150,1.736,150,1.415E-7,5.011,-15.771
150,2,160,2.054,160,1.166E-7,5.075,-15.965
160,2,NaN,NaN,NaN,NaN,NaN,NaN
