Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,1.995,10,4.775E-4,2.303,-7.647
10,2,20,2.012,20,5.968E-5,2.996,-9.726
20,2,30,2.056,30,1.768E-5,3.401,-10.943
30,2,40,1.715,40,7.460E-6,3.689,-11.806
40,2,50,1.492,50,1.910E-6,3.912,-13.168
50,1,60,1.650,60,2.210E-6,4.094,-13.022
60,2,70,1.987,70,1.392E-6,4.248,-13.485
70,2,80,2.139,80,9.325E-7,4.382,-13.885
80,2,90,2.004,90,6.550E-7,4.500,-14.239
90,2,100,1.904,100,4.775E-7,4.605,-14.555
100,2,110,2.057,110,3.587E-7,4.700,-14.841
110,2,120,0.989,120,1.382E-7,4.787,-15.795
120,1,NaN,NaN,NaN,NaN,NaN,NaN
