Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,0.973,10,2.387E-4,2.303,-8.340
10,1,20,1.072,20,2.984E-5,2.996,-10.420
20,1,30,0.991,30,8.842E-6,3.401,-11.636
30,1,40,0.939,40,3.730E-6,3.689,-12.499
40,1,50,0.957,50,1.910E-6,3.912,-13.168
50,1,60,1.014,60,1.105E-6,4.094,-13.715
60,1,70,1.061,70,6.960E-7,4.248,-14.178
70,1,80,1.067,80,4.663E-7,4.382,-14.578
80,1,90,1.027,90,3.275E-7,4.500,-14.932
90,1,100,0.960,100,2.387E-7,4.605,-15.248
100,1,110,0.903,110,1.794E-7,4.700,-15.534
110,1,120,0.894,120,1.382E-7,4.787,-15.795
120,1,130,0.963,130,1.087E-7,4.868,-16.035
130,1,140,1.124,140,8.700E-8,4.942,-16.257
140,1,150,1.369,150,7.074E-8,5.011,-16.464
150,1,160,1.672,160,1.166E-7,5.075,-15.965
160,2,170,1.993,170,9.718E-8,5.136,-16.147
170,2,180,2.290,180,8.187E-8,5.193,-16.318
180,2,190,2.532,190,1.044E-7,5.247,-16.075
190,3,200,2.702,200,8.952E-8,5.298,-16.229
200,3,210,2.807,210,5.156E-8,5.347,-16.781
210,2,220,2.863,220,6.726E-8,5.394,-16.515
220,3,230,2.868,230,5.886E-8,5.438,-16.648
230,3,240,2.750,240,5.181E-8,5.481,-16.776
240,3,250,2.278,250,3.056E-8,5.521,-17.304
250,2,260,0.929,260,1.358E-8,5.561,-18.114
260,1,NaN,NaN,NaN,NaN,NaN,NaN
