Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,4.235,10,9.549E-4,2.303,-6.954
10,4,20,4.140,20,1.194E-4,2.996,-9.033
20,4,30,3.559,30,4.421E-5,3.401,-10.027
30,5,40,2.822,40,7.460E-6,3.689,-11.806
40,2,50,2.119,50,3.820E-6,3.912,-12.475
50,2,60,1.548,60,1.105E-6,4.094,-13.715
60,1,70,1.142,70,6.960E-7,4.248,-14.178
70,1,80,0.893,80,4.663E-7,4.382,-14.578
80,1,90,0.774,90,3.275E-7,4.500,-14.932
90,1,100,0.751,100,2.387E-7,4.605,-15.248
100,1,110,0.788,110,1.794E-7,4.700,-15.534
110,1,120,0.858,120,1.382E-7,4.787,-15.795
120,1,130,0.940,130,1.087E-7,4.868,-16.035
130,1,140,1.022,140,8.700E-8,4.942,-16.257
140,1,150,1.101,150,7.074E-8,5.011,-16.464
150,1,160,1.176,160,5.828E-8,5.075,-16.658
160,1,170,1.252,170,4.859E-8,5.136,-16.840
170,1,180,1.335,180,4.093E-8,5.193,-17.011
180,1,190,1.429,190,3.481E-8,5.247,-17.173
190,1,200,1.534,200,5.968E-8,5.298,-16.634
200,2,210,1.649,210,5.156E-8,5.347,-16.781
210,2,220,1.767,220,4.484E-8,5.394,-16.920
220,2,230,1.879,230,3.924E-8,5.438,-17.054
230,2,240,1.977,240,3.454E-8,5.481,-17.181
240,2,250,2.049,250,3.056E-8,5.521,-17.304
250,2,260,2.089,260,2.717E-8,5.561,-17.421
260,2,270,2.096,270,2.426E-8,5.598,-17.535
270,2,280,2.076,280,2.175E-8,5.635,-17.644
280,2,290,2.042,290,1.958E-8,5.670,-17.749
290,2,300,2.016,300,1.768E-8,5.704,-17.851
300,2,310,2.027,310,1.603E-8,5.737,-17.949
310,2,320,2.101,320,1.457E-8,5.768,-18.044
320,2,330,2.261,330,1.329E-8,5.799,-18.137
330,2,340,2.506,340,1.822E-8,5.829,-17.821
340,3,350,2.798,350,1.670E-8,5.858,-17.908
350,3,360,3.036,360,1.535E-8,5.886,-17.992
360,3,370,3.025,370,1.414E-8,5.914,-18.074
370,3,380,2.435,380,8.701E-9,5.940,-18.560
380,2,390,0.753,390,4.025E-9,5.966,-19.331
390,1,NaN,NaN,NaN,NaN,NaN,NaN
