Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,1.034,10,0.003,2.303,-5.750
10,1,20,0.869,20,7.958E-4,2.996,-7.136
20,1,30,1.058,30,3.537E-4,3.401,-7.947
30,1,40,1.148,40,1.989E-4,3.689,-8.522
40,1,50,1.064,50,1.273E-4,3.912,-8.969
50,1,60,0.897,60,8.842E-5,4.094,-9.333
60,1,70,0.780,70,6.496E-5,4.248,-9.642
70,1,80,0.811,80,4.974E-5,4.382,-9.909
80,1,90,1.026,90,3.930E-5,4.500,-10.144
90,1,100,1.395,100,3.183E-5,4.605,-10.355
100,1,110,1.844,110,2.631E-5,4.700,-10.546
110,1,120,2.279,120,6.631E-5,4.787,-9.621
120,3,130,2.612,130,5.650E-5,4.868,-9.781
130,3,140,2.784,140,4.872E-5,4.942,-9.929
140,3,150,2.776,150,4.244E-5,5.011,-10.067
150,3,160,2.613,160,2.487E-5,5.075,-10.602
160,2,170,2.354,170,2.203E-5,5.136,-10.723
170,2,180,2.072,180,1.965E-5,5.193,-10.837
180,2,190,1.832,190,1.763E-5,5.247,-10.946
190,2,200,1.667,200,1.592E-5,5.298,-11.048
200,2,210,1.561,210,1.444E-5,5.347,-11.146
210,2,220,1.453,220,6.577E-6,5.394,-11.932
220,1,230,1.264,230,6.017E-6,5.438,-12.021
230,1,240,0.971,240,5.526E-6,5.481,-12.106
240,1,250,0.735,250,5.093E-6,5.521,-12.188
250,1,260,1.103,260,4.709E-6,5.561,-12.266
260,1,NaN,NaN,NaN,NaN,NaN,NaN
