Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.016,10,2.387E-4,2.303,-8.340
10,1,20,0.975,20,2.984E-5,2.996,-10.420
20,1,30,0.997,30,8.842E-6,3.401,-11.636
30,1,40,1.014,40,3.730E-6,3.689,-12.499
40,1,50,0.987,50,1.910E-6,3.912,-13.168
50,1,60,0.958,60,1.105E-6,4.094,-13.715
60,1,70,1.030,70,6.960E-7,4.248,-14.178
70,1,80,1.301,80,4.663E-7,4.382,-14.578
80,1,90,1.808,90,6.550E-7,4.500,-14.239
90,2,100,2.485,100,7.162E-7,4.605,-14.149
100,3,110,3.178,110,5.381E-7,4.700,-14.435
110,3,120,3.683,120,4.145E-7,4.787,-14.696
120,3,130,3.826,130,4.347E-7,4.868,-14.649
130,4,140,3.546,140,3.480E-7,4.942,-14.871
140,4,150,2.958,150,2.122E-7,5.011,-15.366
150,3,160,2.339,160,1.166E-7,5.075,-15.965
160,2,170,1.985,170,9.718E-8,5.136,-16.147
170,2,180,1.873,180,8.187E-8,5.193,-16.318
180,2,190,1.041,190,3.481E-8,5.247,-17.173
190,1,NaN,NaN,NaN,NaN,NaN,NaN
