Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.092,10,2.387E-4,2.303,-8.340
10,1,20,0.750,20,2.984E-5,2.996,-10.420
20,1,30,1.046,30,8.842E-6,3.401,-11.636
30,1,40,1.207,40,3.730E-6,3.689,-12.499
40,1,50,1.123,50,1.910E-6,3.912,-13.168
50,1,60,0.933,60,1.105E-6,4.094,-13.715
60,1,70,0.800,70,6.960E-7,4.248,-14.178
70,1,80,0.806,80,4.663E-7,4.382,-14.578
80,1,90,0.944,90,3.275E-7,4.500,-14.932
90,1,100,1.142,100,2.387E-7,4.605,-15.248
100,1,110,1.325,110,1.794E-7,4.700,-15.534
110,1,120,1.453,120,1.382E-7,4.787,-15.795
120,1,130,1.547,130,2.173E-7,4.868,-15.342
130,2,140,1.691,140,1.740E-7,4.942,-15.564
140,2,150,1.993,150,1.415E-7,5.011,-15.771
150,2,160,2.533,160,1.749E-7,5.075,-15.559
160,3,170,3.300,170,1.458E-7,5.136,-15.741
170,3,180,4.137,180,1.228E-7,5.193,-15.913
180,3,190,4.735,190,1.740E-7,5.247,-15.564
190,5,200,4.704,200,1.790E-7,5.298,-15.536
200,6,210,3.756,210,7.733E-8,5.347,-16.375
210,3,220,2.076,220,4.484E-8,5.394,-16.920
220,2,230,0.909,230,1.962E-8,5.438,-17.747
230,1,NaN,NaN,NaN,NaN,NaN,NaN
