Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,3,10,0.987,10,2.387E-4,2.303,-8.340
10,1,20,1.033,20,2.984E-5,2.996,-10.420
20,1,30,1.007,30,8.842E-6,3.401,-11.636
30,1,40,0.980,40,3.730E-6,3.689,-12.499
40,1,50,0.972,50,1.910E-6,3.912,-13.168
50,1,60,0.980,60,1.105E-6,4.094,-13.715
60,1,70,0.995,70,6.960E-7,4.248,-14.178
70,1,80,1.007,80,4.663E-7,4.382,-14.578
80,1,90,1.017,90,3.275E-7,4.500,-14.932
90,1,100,1.031,100,2.387E-7,4.605,-15.248
100,1,110,1.063,110,1.794E-7,4.700,-15.534
110,1,120,1.129,120,1.382E-7,4.787,-15.795
120,1,130,1.244,130,1.087E-7,4.868,-16.035
130,1,140,1.417,140,1.740E-7,4.942,-15.564
140,2,150,1.649,150,1.415E-7,5.011,-15.771
150,2,160,1.933,160,1.166E-7,5.075,-15.965
160,2,170,2.250,170,9.718E-8,5.136,-16.147
170,2,180,2.572,180,8.187E-8,5.193,-16.318
180,2,190,2.868,190,6.961E-8,5.247,-16.480
190,2,200,3.104,200,1.194E-7,5.298,-15.941
200,4,210,3.249,210,1.031E-7,5.347,-16.087
210,4,220,3.282,220,6.726E-8,5.394,-16.515
220,3,230,3.196,230,5.886E-8,5.438,-16.648
230,3,240,3.003,240,5.181E-8,5.481,-16.776
240,3,250,2.730,250,4.584E-8,5.521,-16.898
250,3,260,2.424,260,2.717E-8,5.561,-17.421
260,2,270,2.138,270,2.426E-8,5.598,-17.535
270,2,280,1.920,280,2.175E-8,5.635,-17.644
280,2,290,1.787,290,1.958E-8,5.670,-17.749
290,2,300,1.695,300,1.768E-8,5.704,-17.851
300,2,310,1.490,310,8.014E-9,5.737,-18.642
310,1,320,0.847,320,7.286E-9,5.768,-18.737
320,1,NaN,NaN,NaN,NaN,NaN,NaN
