Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,3,10,1.093,10,2.387E-4,2.303,-8.340
10,1,20,0.841,20,2.984E-5,2.996,-10.420
20,1,30,0.928,30,8.842E-6,3.401,-11.636
30,1,40,1.094,40,3.730E-6,3.689,-12.499
40,1,50,1.157,50,1.910E-6,3.912,-13.168
50,1,60,1.074,60,1.105E-6,4.094,-13.715
60,1,70,0.909,70,6.960E-7,4.248,-14.178
70,1,80,0.786,80,4.663E-7,4.382,-14.578
80,1,90,0.822,90,3.275E-7,4.500,-14.932
90,1,100,1.077,100,2.387E-7,4.605,-15.248
100,1,110,1.527,110,1.794E-7,4.700,-15.534
110,1,120,2.068,120,2.763E-7,4.787,-15.102
120,2,130,2.554,130,3.260E-7,4.868,-14.936
130,3,140,2.848,140,2.610E-7,4.942,-15.159
140,3,150,2.890,150,2.122E-7,5.011,-15.366
150,3,160,2.748,160,1.166E-7,5.075,-15.965
160,2,170,2.619,170,1.458E-7,5.136,-15.741
170,3,180,2.763,180,1.228E-7,5.193,-15.913
180,3,190,3.306,190,1.044E-7,5.247,-16.075
190,3,200,3.877,200,1.194E-7,5.298,-15.941
200,4,210,3.020,210,7.733E-8,5.347,-16.375
210,3,NaN,NaN,NaN,NaN,NaN,NaN
