Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,3,10,1.136,10,2.387E-4,2.303,-8.340
10,1,20,0.663,20,2.984E-5,2.996,-10.420
20,1,30,0.993,30,8.842E-6,3.401,-11.636
30,1,40,1.270,40,3.730E-6,3.689,-12.499
40,1,50,1.255,50,1.910E-6,3.912,-13.168
50,1,60,1.021,60,1.105E-6,4.094,-13.715
60,1,70,0.749,70,6.960E-7,4.248,-14.178
70,1,80,0.607,80,4.663E-7,4.382,-14.578
80,1,90,0.694,90,3.275E-7,4.500,-14.932
90,1,100,1.019,100,2.387E-7,4.605,-15.248
100,1,110,1.521,110,1.794E-7,4.700,-15.534
110,1,120,2.092,120,1.382E-7,4.787,-15.795
120,1,130,2.616,130,2.173E-7,4.868,-15.342
130,2,140,2.996,140,4.350E-7,4.942,-14.648
140,5,150,3.177,150,2.829E-7,5.011,-15.078
150,4,160,3.155,160,1.749E-7,5.075,-15.559
160,3,170,2.971,170,9.718E-8,5.136,-16.147
170,2,180,2.696,180,8.187E-8,5.193,-16.318
180,2,190,2.404,190,6.961E-8,5.247,-16.480
190,2,200,2.144,200,8.952E-8,5.298,-16.229
200,3,210,1.923,210,7.733E-8,5.347,-16.375
210,3,220,1.695,220,2.242E-8,5.394,-17.613
220,1,230,1.394,230,1.962E-8,5.438,-17.747
230,1,240,1.008,240,1.727E-8,5.481,-17.874
240,1,250,0.710,250,1.528E-8,5.521,-17.997
250,1,260,1.092,260,1.358E-8,5.561,-18.114
260,1,NaN,NaN,NaN,NaN,NaN,NaN
