Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,1.984,10,4.775E-4,2.303,-7.647
10,2,20,6.113,20,1.790E-4,2.996,-8.628
20,6,30,6.646,30,6.189E-5,3.401,-9.690
30,7,40,5.665,40,1.865E-5,3.689,-10.890
40,5,50,4.179,50,9.549E-6,3.912,-11.559
50,5,60,2.688,60,2.210E-6,4.094,-13.022
60,2,70,1.610,70,1.392E-6,4.248,-13.485
70,2,80,1.143,80,4.663E-7,4.382,-14.578
80,1,90,0.969,90,3.275E-7,4.500,-14.932
90,1,100,1.003,100,2.387E-7,4.605,-15.248
100,1,NaN,NaN,NaN,NaN,NaN,NaN
