Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,1.973,10,4.775E-4,2.303,-7.647
10,2,20,2.307,20,5.968E-5,2.996,-9.726
20,2,30,2.135,30,2.653E-5,3.401,-10.537
30,3,40,1.706,40,3.730E-6,3.689,-12.499
40,1,50,1.232,50,1.910E-6,3.912,-13.168
50,1,60,0.865,60,1.105E-6,4.094,-13.715
60,1,70,0.693,70,6.960E-7,4.248,-14.178
70,1,80,0.741,80,4.663E-7,4.382,-14.578
80,1,90,0.984,90,3.275E-7,4.500,-14.932
90,1,100,1.360,100,2.387E-7,4.605,-15.248
100,1,110,1.788,110,1.794E-7,4.700,-15.534
110,1,120,2.184,120,4.145E-7,4.787,-14.696
120,3,130,2.477,130,3.260E-7,4.868,-14.936
130,3,140,2.619,140,1.740E-7,4.942,-15.564
140,2,150,2.591,150,1.415E-7,5.011,-15.771
150,2,160,2.402,160,1.749E-7,5.075,-15.559
160,3,170,2.093,170,1.458E-7,5.136,-15.741
170,3,180,1.721,180,4.093E-8,5.193,-17.011
180,1,190,1.355,190,3.481E-8,5.247,-17.173
190,1,200,1.058,200,2.984E-8,5.298,-17.327
200,1,210,0.875,210,2.578E-8,5.347,-17.474
210,1,220,0.823,220,2.242E-8,5.394,-17.613
220,1,230,0.884,230,1.962E-8,5.438,-17.747
230,1,240,1.003,240,1.727E-8,5.481,-17.874
240,1,250,1.102,250,1.528E-8,5.521,-17.997
250,1,260,1.109,260,1.358E-8,5.561,-18.114
260,1,270,0.999,270,1.213E-8,5.598,-18.228
270,1,280,0.872,280,1.088E-8,5.635,-18.337
280,1,290,1.050,290,9.789E-9,5.670,-18.442
290,1,NaN,NaN,NaN,NaN,NaN,NaN
