Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,1.048,10,2.387E-4,2.303,-8.340
10,1,20,0.843,20,2.984E-5,2.996,-10.420
20,1,30,1.074,30,8.842E-6,3.401,-11.636
30,1,40,1.151,40,3.730E-6,3.689,-12.499
40,1,50,1.032,50,1.910E-6,3.912,-13.168
50,1,60,0.865,60,1.105E-6,4.094,-13.715
60,1,70,0.801,70,6.960E-7,4.248,-14.178
70,1,80,0.911,80,4.663E-7,4.382,-14.578
80,1,90,1.184,90,3.275E-7,4.500,-14.932
90,1,100,1.558,100,2.387E-7,4.605,-15.248
100,1,110,1.963,110,3.587E-7,4.700,-14.841
110,2,120,2.359,120,4.145E-7,4.787,-14.696
120,3,130,2.746,130,3.260E-7,4.868,-14.936
130,3,140,3.157,140,2.610E-7,4.942,-15.159
140,3,150,3.621,150,2.122E-7,5.011,-15.366
150,3,160,4.119,160,2.331E-7,5.075,-15.272
160,4,170,4.544,170,2.430E-7,5.136,-15.230
170,5,180,4.688,180,2.047E-7,5.193,-15.402
180,5,190,4.299,190,1.392E-7,5.247,-15.787
190,4,200,3.230,200,8.952E-8,5.298,-16.229
200,3,210,1.751,210,5.156E-8,5.347,-16.781
210,2,220,1.058,220,2.242E-8,5.394,-17.613
220,1,NaN,NaN,NaN,NaN,NaN,NaN
