Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,1.984,10,4.775E-4,2.303,-7.647
10,2,20,1.074,20,2.984E-5,2.996,-10.420
20,1,30,0.897,30,8.842E-6,3.401,-11.636
30,1,40,0.993,40,3.730E-6,3.689,-12.499
40,1,50,1.089,50,1.910E-6,3.912,-13.168
50,1,60,1.045,60,1.105E-6,4.094,-13.715
60,1,70,0.903,70,6.960E-7,4.248,-14.178
70,1,80,0.875,80,4.663E-7,4.382,-14.578
80,1,90,1.215,90,3.275E-7,4.500,-14.932
90,1,100,1.991,100,4.775E-7,4.605,-14.555
100,2,110,2.865,110,5.381E-7,4.700,-14.435
110,3,120,3.086,120,4.145E-7,4.787,-14.696
120,3,130,1.983,130,2.173E-7,4.868,-15.342
130,2,NaN,NaN,NaN,NaN,NaN,NaN
