Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,3,10,1.002,10,0.003,2.303,-5.750
10,1,20,1.020,20,7.958E-4,2.996,-7.136
20,1,30,0.929,30,3.537E-4,3.401,-7.947
30,1,40,1.008,40,1.989E-4,3.689,-8.522
40,1,50,1.093,50,1.273E-4,3.912,-8.969
50,1,60,1.058,60,8.842E-5,4.094,-9.333
60,1,70,0.935,70,6.496E-5,4.248,-9.642
70,1,80,0.851,80,4.974E-5,4.382,-9.909
80,1,90,0.916,90,3.930E-5,4.500,-10.144
90,1,100,1.137,100,3.183E-5,4.605,-10.355
100,1,110,1.421,110,2.631E-5,4.700,-10.546
110,1,120,1.652,120,4.421E-5,4.787,-10.027
120,2,130,1.805,130,3.767E-5,4.868,-10.187
130,2,140,2.004,140,3.248E-5,4.942,-10.335
140,2,150,2.404,150,2.829E-5,5.011,-10.473
150,2,160,2.700,160,3.730E-5,5.075,-10.196
160,3,170,1.066,170,1.101E-5,5.136,-11.416
170,1,NaN,NaN,NaN,NaN,NaN,NaN
