Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,5.602,10,0.001,2.303,-6.731
10,5,20,6.543,20,2.089E-4,2.996,-8.474
20,7,30,6.275,30,6.189E-5,3.401,-9.690
30,7,40,5.368,40,2.238E-5,3.689,-10.707
40,6,50,4.214,50,7.639E-6,3.912,-11.782
50,4,60,3.065,60,2.210E-6,4.094,-13.022
60,2,70,2.070,70,6.960E-7,4.248,-14.178
70,1,80,1.301,80,4.663E-7,4.382,-14.578
80,1,90,0.775,90,3.275E-7,4.500,-14.932
90,1,100,0.477,100,2.387E-7,4.605,-15.248
100,1,110,0.372,110,1.794E-7,4.700,-15.534
110,1,120,0.413,120,1.382E-7,4.787,-15.795
120,1,130,0.554,130,1.087E-7,4.868,-16.035
130,1,140,0.752,140,8.700E-8,4.942,-16.257
140,1,150,0.975,150,7.074E-8,5.011,-16.464
150,1,160,1.194,160,5.828E-8,5.075,-16.658
160,1,170,1.396,170,4.859E-8,5.136,-16.840
170,1,180,1.572,180,4.093E-8,5.193,-17.011
180,1,190,1.722,190,3.481E-8,5.247,-17.173
190,1,200,1.851,200,2.984E-8,5.298,-17.327
200,1,210,1.968,210,5.156E-8,5.347,-16.781
210,2,220,2.083,220,4.484E-8,5.394,-16.920
220,2,230,2.205,230,5.886E-8,5.438,-16.648
230,3,240,2.339,240,5.181E-8,5.481,-16.776
240,3,250,2.488,250,4.584E-8,5.521,-16.898
250,3,260,2.652,260,4.075E-8,5.561,-17.016
260,3,270,2.825,270,3.639E-8,5.598,-17.129
270,3,280,2.995,280,3.263E-8,5.635,-17.238
280,3,290,3.151,290,2.937E-8,5.670,-17.343
290,3,300,3.276,300,2.653E-8,5.704,-17.445
300,3,310,3.355,310,2.404E-8,5.737,-17.544
310,3,320,3.374,320,2.186E-8,5.768,-17.639
320,3,330,3.324,330,1.993E-8,5.799,-17.731
330,3,340,3.198,340,1.822E-8,5.829,-17.821
340,3,350,3.001,350,1.670E-8,5.858,-17.908
350,3,360,2.741,360,1.535E-8,5.886,-17.992
360,3,370,2.439,370,1.414E-8,5.914,-18.074
370,3,380,2.119,380,8.701E-9,5.940,-18.560
380,2,390,1.812,390,8.049E-9,5.966,-18.638
390,2,400,1.548,400,7.460E-9,5.991,-18.714
400,2,410,1.351,410,3.464E-9,6.016,-19.481
410,1,420,1.228,420,3.222E-9,6.040,-19.553
420,1,430,1.155,430,3.003E-9,6.064,-19.624
430,1,440,1.064,440,2.803E-9,6.087,-19.693
440,1,450,0.818,450,2.620E-9,6.109,-19.760
450,1,NaN,NaN,NaN,NaN,NaN,NaN
