Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,1.886,10,4.775E-4,2.303,-7.647
10,2,20,2.267,20,5.968E-5,2.996,-9.726
20,2,30,2.078,30,1.768E-5,3.401,-10.943
30,2,40,1.747,40,7.460E-6,3.689,-11.806
40,2,50,1.481,50,3.820E-6,3.912,-12.475
50,2,60,1.351,60,1.105E-6,4.094,-13.715
60,1,70,1.351,70,6.960E-7,4.248,-14.178
70,1,80,1.443,80,4.663E-7,4.382,-14.578
80,1,90,1.579,90,6.550E-7,4.500,-14.239
90,2,100,1.724,100,4.775E-7,4.605,-14.555
100,2,110,1.854,110,3.587E-7,4.700,-14.841
110,2,120,1.964,120,2.763E-7,4.787,-15.102
120,2,130,2.060,130,2.173E-7,4.868,-15.342
130,2,140,2.154,140,1.740E-7,4.942,-15.564
140,2,150,2.259,150,1.415E-7,5.011,-15.771
150,2,160,2.380,160,1.166E-7,5.075,-15.965
160,2,170,2.515,170,1.458E-7,5.136,-15.741
170,3,180,2.649,180,1.228E-7,5.193,-15.913
180,3,190,2.759,190,1.044E-7,5.247,-16.075
190,3,200,2.814,200,5.968E-8,5.298,-16.634
200,2,210,2.784,210,7.733E-8,5.347,-16.375
210,3,220,2.646,220,6.726E-8,5.394,-16.515
220,3,230,2.393,230,3.924E-8,5.438,-17.054
230,2,240,2.040,240,3.454E-8,5.481,-17.181
240,2,250,1.631,250,3.056E-8,5.521,-17.304
250,2,260,1.238,260,1.358E-8,5.561,-18.114
260,1,270,0.954,270,1.213E-8,5.598,-18.228
270,1,NaN,NaN,NaN,NaN,NaN,NaN
