Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,6,10,4.123,10,0.013,2.303,-4.364
10,4,20,3.955,20,0.003,2.996,-5.750
20,4,30,3.551,30,0.001,3.401,-6.561
30,4,40,2.980,40,5.968E-4,3.689,-7.424
40,3,50,2.326,50,2.546E-4,3.912,-8.276
50,2,60,1.676,60,8.842E-5,4.094,-9.333
60,1,70,1.109,70,6.496E-5,4.248,-9.642
70,1,80,0.690,80,4.974E-5,4.382,-9.909
80,1,90,0.464,90,3.930E-5,4.500,-10.144
90,1,100,0.457,100,3.183E-5,4.605,-10.355
100,1,110,0.672,110,2.631E-5,4.700,-10.546
110,1,120,1.091,120,2.210E-5,4.787,-10.720
120,1,130,1.680,130,1.883E-5,4.868,-10.880
130,1,140,2.389,140,1.624E-5,4.942,-11.028
140,1,150,3.160,150,4.244E-5,5.011,-10.067
150,3,160,3.929,160,6.217E-5,5.075,-9.686
160,5,170,4.634,170,5.507E-5,5.136,-9.807
170,5,180,5.216,180,4.912E-5,5.193,-9.921
180,5,190,5.628,190,5.290E-5,5.247,-9.847
190,6,200,5.838,200,4.775E-5,5.298,-9.950
200,6,210,5.830,210,4.331E-5,5.347,-10.047
210,6,220,5.607,220,3.946E-5,5.394,-10.140
220,6,230,5.193,230,2.407E-5,5.438,-10.635
230,4,240,4.630,240,2.210E-5,5.481,-10.720
240,4,250,3.975,250,2.037E-5,5.521,-10.801
250,4,260,3.295,260,1.883E-5,5.561,-10.880
260,4,270,2.657,270,1.310E-5,5.598,-11.243
270,3,280,2.118,280,8.120E-6,5.635,-11.721
280,2,290,1.710,290,7.570E-6,5.670,-11.791
290,2,300,1.422,300,3.537E-6,5.704,-12.552
300,1,310,1.179,310,3.312E-6,5.737,-12.618
310,1,320,0.815,320,3.108E-6,5.768,-12.681
320,1,NaN,NaN,NaN,NaN,NaN,NaN
