Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,7.078,10,0.002,2.303,-6.394
10,7,20,7.214,20,2.387E-4,2.996,-8.340
20,8,30,8.053,30,5.305E-5,3.401,-9.844
30,6,40,7.667,40,3.357E-5,3.689,-10.302
40,9,50,6.715,50,1.528E-5,3.912,-11.089
50,8,60,6.235,60,6.631E-6,4.094,-11.924
60,6,70,6.712,70,2.784E-6,4.248,-12.792
70,4,80,7.961,80,3.730E-6,4.382,-12.499
80,8,90,9.407,90,3.930E-6,4.500,-12.447
90,12,100,10.478,100,2.626E-6,4.605,-12.850
100,11,110,10.898,110,1.794E-6,4.700,-13.231
110,10,120,10.762,120,1.243E-6,4.787,-13.598
120,9,130,10.382,130,1.195E-6,4.868,-13.637
130,11,140,9.967,140,8.700E-7,4.942,-13.955
140,10,150,9.301,150,7.781E-7,5.011,-14.066
150,11,160,7.682,160,4.080E-7,5.075,-14.712
160,7,170,4.476,170,1.458E-7,5.136,-15.741
170,3,180,0.716,180,8.187E-8,5.193,-16.318
180,2,190,2.296,190,6.961E-8,5.247,-16.480
190,2,NaN,NaN,NaN,NaN,NaN,NaN
