Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,7,10,7.872,10,0.002,2.303,-6.261
10,8,20,3.495,20,8.952E-5,2.996,-9.321
20,3,30,1.677,30,1.768E-5,3.401,-10.943
30,2,40,1.357,40,7.460E-6,3.689,-11.806
40,2,50,1.575,50,1.910E-6,3.912,-13.168
50,1,60,1.774,60,2.210E-6,4.094,-13.022
60,2,70,1.849,70,6.960E-7,4.248,-14.178
70,1,80,2.026,80,4.663E-7,4.382,-14.578
80,1,90,2.662,90,1.637E-6,4.500,-13.322
90,5,100,4.041,100,1.194E-6,4.605,-13.638
100,5,110,6.221,110,1.076E-6,4.700,-13.742
110,6,120,8.946,120,6.908E-7,4.787,-14.185
120,5,130,11.673,130,1.630E-6,4.868,-13.327
130,15,140,13.685,140,7.830E-7,4.942,-14.060
140,9,150,14.286,150,1.627E-6,5.011,-13.329
150,23,160,13.051,160,4.080E-7,5.075,-14.712
160,7,170,10.058,170,5.345E-7,5.136,-14.442
170,11,180,6.061,180,2.456E-7,5.193,-15.220
180,6,190,2.491,190,1.044E-7,5.247,-16.075
190,3,200,1.200,200,2.984E-8,5.298,-17.327
200,1,NaN,NaN,NaN,NaN,NaN,NaN
