Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,8,10,8.421,10,0.002,2.303,-6.261
10,8,20,7.184,20,2.686E-4,2.996,-8.222
20,9,30,7.827,30,4.421E-5,3.401,-10.027
30,5,40,8.136,40,3.730E-5,3.689,-10.196
40,10,50,7.737,50,1.528E-5,3.912,-11.089
50,8,60,6.972,60,4.421E-6,4.094,-12.329
60,4,70,6.275,70,6.960E-6,4.248,-11.875
70,10,80,5.894,80,2.331E-6,4.382,-12.969
80,5,90,5.839,90,1.965E-6,4.500,-13.140
90,6,100,5.962,100,1.194E-6,4.605,-13.638
100,5,110,6.077,110,8.968E-7,4.700,-13.924
110,5,120,6.076,120,9.671E-7,4.787,-13.849
120,7,130,5.983,130,7.606E-7,4.868,-14.089
130,7,140,5.947,140,4.350E-7,4.942,-14.648
140,5,150,6.156,150,4.951E-7,5.011,-14.518
150,7,160,6.715,160,4.080E-7,5.075,-14.712
160,7,170,7.513,170,3.401E-7,5.136,-14.894
170,7,180,8.151,180,2.865E-7,5.193,-15.065
180,7,190,8.020,190,2.436E-7,5.247,-15.228
190,7,200,6.618,200,3.283E-7,5.298,-14.929
200,11,210,4.251,210,2.578E-8,5.347,-17.474
210,1,220,3.244,220,8.968E-8,5.394,-16.227
220,4,NaN,NaN,NaN,NaN,NaN,NaN
