Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,1.957,10,4.775E-4,2.303,-7.647
10,2,20,1.088,20,2.984E-5,2.996,-10.420
20,1,30,1.092,30,8.842E-6,3.401,-11.636
30,1,40,0.637,40,3.730E-6,3.689,-12.499
40,1,50,1.287,50,1.910E-6,3.912,-13.168
50,1,60,2.714,60,3.316E-6,4.094,-12.617
60,3,70,4.019,70,2.088E-6,4.248,-13.079
70,3,80,5.233,80,3.264E-6,4.382,-12.633
80,7,90,6.540,90,1.637E-6,4.500,-13.322
90,5,100,6.272,100,1.671E-6,4.605,-13.302
100,7,110,2.177,110,3.587E-7,4.700,-14.841
110,2,120,3.983,120,5.526E-7,4.787,-14.409
120,4,NaN,NaN,NaN,NaN,NaN,NaN
