Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,4,10,2.001,10,0.006,2.303,-5.057
10,2,20,1.003,20,7.958E-4,2.996,-7.136
20,1,30,0.941,30,3.537E-4,3.401,-7.947
30,1,40,1.057,40,1.989E-4,3.689,-8.522
40,1,50,1.088,50,1.273E-4,3.912,-8.969
50,1,60,1.016,60,8.842E-5,4.094,-9.333
60,1,70,0.914,70,6.496E-5,4.248,-9.642
70,1,80,0.857,80,4.974E-5,4.382,-9.909
80,1,90,0.893,90,3.930E-5,4.500,-10.144
90,1,100,1.033,100,3.183E-5,4.605,-10.355
100,1,110,1.260,110,2.631E-5,4.700,-10.546
110,1,120,1.546,120,2.210E-5,4.787,-10.720
120,1,130,1.862,130,3.767E-5,4.868,-10.187
130,2,140,2.181,140,4.872E-5,4.942,-9.929
140,3,150,2.475,150,4.244E-5,5.011,-10.067
150,3,160,2.705,160,2.487E-5,5.075,-10.602
160,2,170,2.813,170,2.203E-5,5.136,-10.723
170,2,180,2.733,180,2.947E-5,5.193,-10.432
180,3,190,2.413,190,2.645E-5,5.247,-10.540
190,3,200,1.898,200,1.592E-5,5.298,-11.048
200,2,210,1.465,210,7.218E-6,5.347,-11.839
210,1,220,1.847,220,1.315E-5,5.394,-11.239
220,2,NaN,NaN,NaN,NaN,NaN,NaN
