Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,2.938,10,7.162E-4,2.303,-7.242
10,3,20,1.304,20,2.984E-5,2.996,-10.420
20,1,30,0.760,30,8.842E-6,3.401,-11.636
30,1,40,0.766,40,3.730E-6,3.689,-12.499
40,1,50,0.967,50,1.910E-6,3.912,-13.168
50,1,60,1.153,60,1.105E-6,4.094,-13.715
60,1,70,1.231,70,6.960E-7,4.248,-14.178
70,1,80,1.186,80,4.663E-7,4.382,-14.578
80,1,90,1.057,90,3.275E-7,4.500,-14.932
90,1,100,0.907,100,2.387E-7,4.605,-15.248
100,1,110,0.807,110,1.794E-7,4.700,-15.534
110,1,120,0.819,120,1.382E-7,4.787,-15.795
120,1,130,0.985,130,1.087E-7,4.868,-16.035
130,1,140,1.317,140,1.740E-7,4.942,-15.564
140,2,150,1.801,150,1.415E-7,5.011,-15.771
150,2,160,2.393,160,1.166E-7,5.075,-15.965
160,2,170,3.028,170,9.718E-8,5.136,-16.147
170,2,180,3.626,180,1.228E-7,5.193,-15.913
180,3,190,4.105,190,1.044E-7,5.247,-16.075
190,3,200,4.389,200,1.790E-7,5.298,-15.536
200,6,210,4.421,210,1.031E-7,5.347,-16.087
210,4,220,4.176,220,1.794E-7,5.394,-15.534
220,8,230,3.667,230,5.886E-8,5.438,-16.648
230,3,240,2.948,240,1.727E-8,5.481,-17.874
240,1,250,2.118,250,1.528E-8,5.521,-17.997
250,1,260,1.309,260,1.358E-8,5.561,-18.114
260,1,270,0.668,270,1.213E-8,5.598,-18.228
270,1,280,0.333,280,1.088E-8,5.635,-18.337
280,1,290,0.389,290,9.789E-9,5.670,-18.442
290,1,300,0.808,300,8.842E-9,5.704,-18.544
300,1,310,1.382,310,8.014E-9,5.737,-18.642
310,1,320,1.618,320,7.286E-9,5.768,-18.737
320,1,330,0.625,330,6.643E-9,5.799,-18.830
330,1,NaN,NaN,NaN,NaN,NaN,NaN
