Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,2.867,10,7.162E-4,2.303,-7.242
10,3,20,1.365,20,2.984E-5,2.996,-10.420
20,1,30,0.852,30,8.842E-6,3.401,-11.636
30,1,40,0.816,40,3.730E-6,3.689,-12.499
40,1,50,0.942,50,1.910E-6,3.912,-13.168
50,1,60,1.060,60,1.105E-6,4.094,-13.715
60,1,70,1.103,70,6.960E-7,4.248,-14.178
70,1,80,1.071,80,4.663E-7,4.382,-14.578
80,1,90,1.002,90,3.275E-7,4.500,-14.932
90,1,100,0.950,100,2.387E-7,4.605,-15.248
100,1,110,0.965,110,1.794E-7,4.700,-15.534
110,1,120,1.089,120,1.382E-7,4.787,-15.795
120,1,130,1.337,130,1.087E-7,4.868,-16.035
130,1,140,1.706,140,1.740E-7,4.942,-15.564
140,2,150,2.168,150,2.122E-7,5.011,-15.366
150,3,160,2.674,160,1.749E-7,5.075,-15.559
160,3,170,3.162,170,9.718E-8,5.136,-16.147
170,2,180,3.565,180,1.228E-7,5.193,-15.913
180,3,190,3.816,190,1.044E-7,5.247,-16.075
190,3,200,3.863,200,1.790E-7,5.298,-15.536
200,6,210,3.675,210,1.031E-7,5.347,-16.087
210,4,220,3.255,220,4.484E-8,5.394,-16.920
220,2,230,2.645,230,5.886E-8,5.438,-16.648
230,3,240,1.938,240,3.454E-8,5.481,-17.181
240,2,250,1.280,250,1.528E-8,5.521,-17.997
250,1,260,0.875,260,1.358E-8,5.561,-18.114
260,1,270,0.984,270,1.213E-8,5.598,-18.228
270,1,280,1.922,280,2.175E-8,5.635,-17.644
280,2,290,4.051,290,3.915E-8,5.670,-17.056
290,4,NaN,NaN,NaN,NaN,NaN,NaN
