Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,6,10,3.984,10,0.013,2.303,-4.364
10,4,20,4.190,20,0.003,2.996,-5.750
20,4,30,3.448,30,0.001,3.401,-6.561
30,4,40,2.375,40,3.979E-4,3.689,-7.829
40,2,50,1.405,50,1.273E-4,3.912,-8.969
50,1,60,0.788,60,8.842E-5,4.094,-9.333
60,1,70,0.608,70,6.496E-5,4.248,-9.642
70,1,80,0.825,80,4.974E-5,4.382,-9.909
80,1,90,1.317,90,3.930E-5,4.500,-10.144
90,1,100,1.925,100,6.366E-5,4.605,-9.662
100,2,110,2.499,110,5.261E-5,4.700,-9.853
110,2,120,2.920,120,6.631E-5,4.787,-9.621
120,3,130,3.124,130,5.650E-5,4.868,-9.781
130,3,140,3.105,140,6.496E-5,4.942,-9.642
140,4,150,2.906,150,4.244E-5,5.011,-10.067
150,3,160,2.603,160,2.487E-5,5.075,-10.602
160,2,170,2.278,170,2.203E-5,5.136,-10.723
170,2,180,1.993,180,1.965E-5,5.193,-10.837
180,2,190,1.769,190,1.763E-5,5.247,-10.946
190,2,200,1.581,200,1.592E-5,5.298,-11.048
200,2,210,1.369,210,7.218E-6,5.347,-11.839
210,1,220,1.100,220,6.577E-6,5.394,-11.932
220,1,230,0.861,230,6.017E-6,5.438,-12.021
230,1,240,1.027,240,5.526E-6,5.481,-12.106
240,1,NaN,NaN,NaN,NaN,NaN,NaN
