Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,2.843,10,7.162E-4,2.303,-7.242
10,3,20,5.503,20,1.492E-4,2.996,-8.810
20,5,30,5.663,30,5.305E-5,3.401,-9.844
30,6,40,4.706,40,1.865E-5,3.689,-10.890
40,5,50,3.462,50,5.730E-6,3.912,-12.070
50,3,60,2.365,60,3.316E-6,4.094,-12.617
60,3,70,1.584,70,6.960E-7,4.248,-14.178
70,1,80,1.129,80,4.663E-7,4.382,-14.578
80,1,90,0.928,90,3.275E-7,4.500,-14.932
90,1,100,0.881,100,2.387E-7,4.605,-15.248
100,1,110,0.902,110,1.794E-7,4.700,-15.534
110,1,120,0.933,120,1.382E-7,4.787,-15.795
120,1,130,0.955,130,1.087E-7,4.868,-16.035
130,1,140,0.978,140,8.700E-8,4.942,-16.257
140,1,150,1.035,150,7.074E-8,5.011,-16.464
150,1,160,1.160,160,5.828E-8,5.075,-16.658
160,1,170,1.371,170,4.859E-8,5.136,-16.840
170,1,180,1.657,180,8.187E-8,5.193,-16.318
180,2,190,1.969,190,6.961E-8,5.247,-16.480
190,2,200,2.219,200,5.968E-8,5.298,-16.634
200,2,210,2.299,210,7.733E-8,5.347,-16.375
210,3,220,2.113,220,4.484E-8,5.394,-16.920
220,2,230,1.634,230,1.962E-8,5.438,-17.747
230,1,240,0.986,240,1.727E-8,5.481,-17.874
240,1,250,0.561,250,1.528E-8,5.521,-17.997
250,1,260,1.167,260,1.358E-8,5.561,-18.114
260,1,NaN,NaN,NaN,NaN,NaN,NaN
