Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,2.178,10,4.775E-4,2.303,-7.647
10,2,20,1.520,20,5.968E-5,2.996,-9.726
20,2,30,1.239,30,8.842E-6,3.401,-11.636
30,1,40,1.121,40,3.730E-6,3.689,-12.499
40,1,50,1.058,50,1.910E-6,3.912,-13.168
50,1,60,1.008,60,1.105E-6,4.094,-13.715
60,1,70,0.963,70,6.960E-7,4.248,-14.178
70,1,80,0.931,80,4.663E-7,4.382,-14.578
80,1,90,0.920,90,3.275E-7,4.500,-14.932
90,1,100,0.936,100,2.387E-7,4.605,-15.248
100,1,110,0.973,110,1.794E-7,4.700,-15.534
110,1,120,1.023,120,1.382E-7,4.787,-15.795
120,1,130,1.070,130,1.087E-7,4.868,-16.035
130,1,140,1.099,140,8.700E-8,4.942,-16.257
140,1,150,1.100,150,7.074E-8,5.011,-16.464
150,1,160,1.066,160,5.828E-8,5.075,-16.658
160,1,170,1.004,170,4.859E-8,5.136,-16.840
170,1,180,0.925,180,4.093E-8,5.193,-17.011
180,1,190,0.855,190,3.481E-8,5.247,-17.173
190,1,200,0.821,200,2.984E-8,5.298,-17.327
200,1,210,0.855,210,2.578E-8,5.347,-17.474
210,1,220,0.984,220,2.242E-8,5.394,-17.613
220,1,230,1.225,230,1.962E-8,5.438,-17.747
230,1,240,1.578,240,1.727E-8,5.481,-17.874
240,1,250,2.015,250,3.056E-8,5.521,-17.304
250,2,260,2.480,260,4.075E-8,5.561,-17.016
260,3,270,2.880,270,3.639E-8,5.598,-17.129
270,3,280,3.088,280,3.263E-8,5.635,-17.238
280,3,290,2.945,290,2.937E-8,5.670,-17.343
290,3,300,2.268,300,1.768E-8,5.704,-17.851
300,2,310,0.872,310,8.014E-9,5.737,-18.642
310,1,NaN,NaN,NaN,NaN,NaN,NaN
