Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,2.931,10,7.162E-4,2.303,-7.242
10,3,20,3.199,20,8.952E-5,2.996,-9.321
20,3,30,3.008,30,2.653E-5,3.401,-10.537
30,3,40,2.559,40,1.119E-5,3.689,-11.400
40,3,50,2.020,50,3.820E-6,3.912,-12.475
50,2,60,1.514,60,1.105E-6,4.094,-13.715
60,1,70,1.120,70,6.960E-7,4.248,-14.178
70,1,80,0.873,80,4.663E-7,4.382,-14.578
80,1,90,0.773,90,3.275E-7,4.500,-14.932
90,1,100,0.794,100,2.387E-7,4.605,-15.248
100,1,110,0.893,110,1.794E-7,4.700,-15.534
110,1,120,1.022,120,1.382E-7,4.787,-15.795
120,1,130,1.136,130,1.087E-7,4.868,-16.035
130,1,140,1.200,140,8.700E-8,4.942,-16.257
140,1,150,1.196,150,7.074E-8,5.011,-16.464
150,1,160,1.124,160,5.828E-8,5.075,-16.658
160,1,170,1.002,170,4.859E-8,5.136,-16.840
170,1,180,0.864,180,4.093E-8,5.193,-17.011
180,1,190,0.754,190,3.481E-8,5.247,-17.173
190,1,200,0.719,200,2.984E-8,5.298,-17.327
200,1,210,0.801,210,2.578E-8,5.347,-17.474
210,1,220,1.028,220,2.242E-8,5.394,-17.613
220,1,230,1.405,230,1.962E-8,5.438,-17.747
230,1,240,1.909,240,1.727E-8,5.481,-17.874
240,1,250,2.482,250,6.112E-8,5.521,-16.611
250,4,260,3.037,260,2.717E-8,5.561,-17.421
260,2,270,3.461,270,3.639E-8,5.598,-17.129
270,3,280,3.638,280,5.438E-8,5.635,-16.727
280,5,290,3.470,290,2.937E-8,5.670,-17.343
290,3,300,2.922,300,2.653E-8,5.704,-17.445
300,3,310,2.074,310,1.603E-8,5.737,-17.949
310,2,320,1.202,320,7.286E-9,5.768,-18.737
320,1,330,0.869,330,6.643E-9,5.799,-18.830
330,1,NaN,NaN,NaN,NaN,NaN,NaN
