Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,2,10,3.037,10,0.010,2.303,-4.651
10,3,20,3.877,20,0.003,2.996,-5.750
20,4,30,3.093,30,0.001,3.401,-6.849
30,3,40,1.987,40,3.979E-4,3.689,-7.829
40,2,50,1.180,50,1.273E-4,3.912,-8.969
50,1,60,0.833,60,8.842E-5,4.094,-9.333
60,1,70,0.844,70,6.496E-5,4.248,-9.642
70,1,80,1.010,80,4.974E-5,4.382,-9.909
80,1,90,1.145,90,3.930E-5,4.500,-10.144
90,1,100,1.146,100,3.183E-5,4.605,-10.355
100,1,110,1.017,110,2.631E-5,4.700,-10.546
110,1,120,0.856,120,2.210E-5,4.787,-10.720
120,1,130,0.799,130,1.883E-5,4.868,-10.880
130,1,140,0.961,140,1.624E-5,4.942,-11.028
140,1,150,1.361,150,1.415E-5,5.011,-11.166
150,1,160,1.884,160,2.487E-5,5.075,-10.602
160,2,170,2.280,170,2.203E-5,5.136,-10.723
170,2,180,2.251,180,2.947E-5,5.193,-10.432
180,3,190,1.638,190,8.817E-6,5.247,-11.639
190,1,200,0.775,200,7.958E-6,5.298,-11.741
200,1,210,1.028,210,7.218E-6,5.347,-11.839
210,1,NaN,NaN,NaN,NaN,NaN,NaN
