Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.999,10,0.003,2.303,-5.750
10,1,20,1.007,20,7.958E-4,2.996,-7.136
20,1,30,0.998,30,3.537E-4,3.401,-7.947
30,1,40,0.989,40,1.989E-4,3.689,-8.522
40,1,50,0.990,50,1.273E-4,3.912,-8.969
50,1,60,1.000,60,8.842E-5,4.094,-9.333
60,1,70,1.015,70,6.496E-5,4.248,-9.642
70,1,80,1.025,80,4.974E-5,4.382,-9.909
80,1,90,1.024,90,3.930E-5,4.500,-10.144
90,1,100,1.007,100,3.183E-5,4.605,-10.355
100,1,110,0.977,110,2.631E-5,4.700,-10.546
110,1,120,0.943,120,2.210E-5,4.787,-10.720
120,1,130,0.921,130,1.883E-5,4.868,-10.880
130,1,140,0.934,140,1.624E-5,4.942,-11.028
140,1,150,1.009,150,1.415E-5,5.011,-11.166
150,1,160,1.176,160,1.243E-5,5.075,-11.295
160,1,170,1.457,170,1.101E-5,5.136,-11.416
170,1,180,1.872,180,1.965E-5,5.193,-10.837
180,2,190,2.424,190,2.645E-5,5.247,-10.540
190,3,200,3.104,200,2.387E-5,5.298,-10.643
200,3,210,3.877,210,2.887E-5,5.347,-10.453
210,4,220,4.692,220,2.631E-5,5.394,-10.546
220,4,230,5.472,230,4.212E-5,5.438,-10.075
230,7,240,6.123,240,2.763E-5,5.481,-10.497
240,5,250,6.542,250,2.546E-5,5.521,-10.578
250,5,260,6.625,260,4.238E-5,5.561,-10.069
260,9,270,6.293,270,2.183E-5,5.598,-10.732
270,5,280,5.510,280,2.842E-5,5.635,-10.468
280,7,290,4.326,290,1.135E-5,5.670,-11.386
290,3,300,2.916,300,1.061E-5,5.704,-11.454
300,3,310,1.641,310,6.625E-6,5.737,-11.925
310,2,320,1.113,320,3.108E-6,5.768,-12.681
320,1,NaN,NaN,NaN,NaN,NaN,NaN
