Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,2,10,2.206,10,4.775E-4,2.303,-7.647
10,2,20,1.614,20,5.968E-5,2.996,-9.726
20,2,30,1.628,30,1.768E-5,3.401,-10.943
30,2,40,1.738,40,3.730E-6,3.689,-12.499
40,1,50,1.731,50,1.910E-6,3.912,-13.168
50,1,60,1.582,60,3.316E-6,4.094,-12.617
60,3,70,1.362,70,6.960E-7,4.248,-14.178
70,1,80,1.177,80,4.663E-7,4.382,-14.578
80,1,90,1.123,90,3.275E-7,4.500,-14.932
90,1,100,1.265,100,2.387E-7,4.605,-15.248
100,1,110,1.622,110,3.587E-7,4.700,-14.841
110,2,120,2.171,120,4.145E-7,4.787,-14.696
120,3,130,2.848,130,3.260E-7,4.868,-14.936
130,3,140,3.563,140,2.610E-7,4.942,-15.159
140,3,150,4.218,150,2.122E-7,5.011,-15.366
150,3,160,4.717,160,2.914E-7,5.075,-15.048
160,5,170,4.985,170,1.944E-7,5.136,-15.454
170,4,180,4.981,180,2.047E-7,5.193,-15.402
180,5,190,4.698,190,3.133E-7,5.247,-14.976
190,9,200,4.178,200,8.952E-8,5.298,-16.229
200,3,210,3.500,210,5.156E-8,5.347,-16.781
210,2,220,2.774,220,4.484E-8,5.394,-16.920
220,2,230,2.128,230,3.924E-8,5.438,-17.054
230,2,240,1.680,240,3.454E-8,5.481,-17.181
240,2,250,1.518,250,3.056E-8,5.521,-17.304
250,2,260,1.656,260,2.717E-8,5.561,-17.421
260,2,270,2.005,270,2.426E-8,5.598,-17.535
270,2,280,2.320,280,2.175E-8,5.635,-17.644
280,2,290,2.163,290,1.958E-8,5.670,-17.749
290,2,300,0.850,300,8.842E-9,5.704,-18.544
300,1,NaN,NaN,NaN,NaN,NaN,NaN
