Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,1,10,0.680,10,0.003,2.303,-5.750
10,1,20,2.035,20,7.958E-4,2.996,-7.136
20,1,30,0.695,30,3.537E-4,3.401,-7.947
30,1,40,-0.181,40,1.989E-4,3.689,-8.522
40,1,50,0.269,50,1.273E-4,3.912,-8.969
50,1,60,1.803,60,8.842E-5,4.094,-9.333
60,1,70,3.829,70,6.496E-5,4.248,-9.642
70,1,80,5.811,80,1.492E-4,4.382,-8.810
80,3,90,7.446,90,5.502E-4,4.500,-7.505
90,14,100,8.668,100,4.456E-4,4.605,-7.716
100,14,110,9.576,110,7.892E-5,4.700,-9.447
110,3,120,10.316,120,1.768E-4,4.787,-8.640
120,8,130,10.985,130,1.695E-4,4.868,-8.683
130,9,140,11.564,140,2.274E-4,4.942,-8.389
140,14,150,11.908,150,2.122E-4,5.011,-8.458
150,15,160,11.797,160,1.616E-4,5.075,-8.730
160,13,170,11.033,170,9.913E-5,5.136,-9.219
170,9,180,9.547,180,7.860E-5,5.193,-9.451
180,8,190,7.510,190,6.172E-5,5.247,-9.693
190,7,200,5.359,200,4.775E-5,5.298,-9.950
200,6,210,3.702,210,3.609E-5,5.347,-10.230
210,5,220,3.008,220,1.973E-5,5.394,-10.833
220,3,230,3.000,230,1.203E-5,5.438,-11.328
230,2,240,1.639,240,1.105E-5,5.481,-11.413
240,2,NaN,NaN,NaN,NaN,NaN,NaN
