Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,4,10,1.968,10,0.006,2.303,-5.057
10,2,20,2.215,20,0.002,2.996,-6.443
20,2,30,2.453,30,0.001,3.401,-6.849
30,3,40,2.555,40,3.979E-4,3.689,-7.829
40,2,50,2.987,50,3.820E-4,3.912,-7.870
50,3,60,3.915,60,3.537E-4,4.094,-7.947
60,4,70,5.043,70,3.898E-4,4.248,-7.850
70,6,80,5.826,80,1.989E-4,4.382,-8.522
80,4,90,5.808,90,2.751E-4,4.500,-8.198
90,7,100,4.894,100,1.592E-4,4.605,-8.746
100,5,110,3.450,110,7.892E-5,4.700,-9.447
110,3,120,2.166,120,4.421E-5,4.787,-10.027
120,2,130,1.741,130,3.767E-5,4.868,-10.187
130,2,140,2.459,140,4.872E-5,4.942,-9.929
140,3,150,3.863,150,4.244E-5,5.011,-10.067
150,3,160,4.741,160,6.217E-5,5.075,-9.686
160,5,170,3.769,170,4.406E-5,5.136,-10.030
170,4,180,1.185,180,9.824E-6,5.193,-11.531
180,1,190,1.962,190,1.763E-5,5.247,-10.946
190,2,NaN,NaN,NaN,NaN,NaN,NaN
