Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,5.335,10,0.001,2.303,-6.548
10,6,20,5.668,20,8.952E-5,2.996,-9.321
20,3,30,6.769,30,8.842E-5,3.401,-9.333
30,10,40,6.572,40,2.238E-5,3.689,-10.707
40,6,50,5.175,50,9.549E-6,3.912,-11.559
50,5,60,3.411,60,2.210E-6,4.094,-13.022
60,2,70,2.071,70,1.392E-6,4.248,-13.485
70,2,80,1.561,80,1.399E-6,4.382,-13.480
80,3,90,1.872,90,6.550E-7,4.500,-14.239
90,2,100,2.714,100,7.162E-7,4.605,-14.149
100,3,110,3.716,110,3.587E-7,4.700,-14.841
110,2,120,4.608,120,5.526E-7,4.787,-14.409
120,4,130,5.339,130,7.606E-7,4.868,-14.089
130,7,140,6.084,140,6.960E-7,4.942,-14.178
140,8,150,7.157,150,4.244E-7,5.011,-14.673
150,6,160,8.832,160,4.080E-7,5.075,-14.712
160,7,170,11.120,170,5.345E-7,5.136,-14.442
170,11,180,13.581,180,4.503E-7,5.193,-14.613
180,11,190,15.256,190,8.005E-7,5.247,-14.038
190,23,200,14.839,200,3.283E-7,5.298,-14.929
200,11,210,11.241,210,2.836E-7,5.347,-15.076
210,11,220,4.710,220,6.726E-8,5.394,-16.515
220,3,230,-1.308,230,1.962E-8,5.438,-17.747
230,1,240,2.677,240,3.454E-8,5.481,-17.181
240,2,NaN,NaN,NaN,NaN,NaN,NaN
