Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,4.970,10,9.549E-4,2.303,-6.954
10,4,20,7.560,20,2.089E-4,2.996,-8.474
20,7,30,6.248,30,7.958E-5,3.401,-9.439
30,9,40,4.569,40,2.238E-5,3.689,-10.707
40,6,50,3.608,50,5.730E-6,3.912,-12.070
50,3,60,3.275,60,1.105E-6,4.094,-13.715
60,1,70,3.109,70,1.392E-6,4.248,-13.485
70,2,80,2.729,80,9.325E-7,4.382,-13.885
80,2,90,2.024,90,6.550E-7,4.500,-14.239
90,2,100,1.163,100,4.775E-7,4.605,-14.555
100,2,110,0.498,110,3.587E-7,4.700,-14.841
110,2,120,0.423,120,2.763E-7,4.787,-15.102
120,2,130,1.226,130,2.173E-7,4.868,-15.342
130,2,140,2.980,140,2.610E-7,4.942,-15.159
140,3,150,5.490,150,2.122E-7,5.011,-15.366
150,3,160,8.309,160,3.497E-7,5.075,-14.866
160,6,170,10.830,170,4.373E-7,5.136,-14.643
170,9,180,12.419,180,6.550E-7,5.193,-14.239
180,16,190,12.600,190,4.873E-7,5.247,-14.534
190,14,200,11.223,200,3.879E-7,5.298,-14.762
200,13,210,8.588,210,1.547E-7,5.347,-15.682
210,6,220,5.452,220,1.121E-7,5.394,-16.004
220,5,230,2.860,230,3.924E-8,5.438,-17.054
230,2,240,1.703,240,5.181E-8,5.481,-16.776
240,3,250,1.919,250,3.056E-8,5.521,-17.304
250,2,260,1.222,260,1.358E-8,5.561,-18.114
260,1,NaN,NaN,NaN,NaN,NaN,NaN
