Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,1,10,0.919,10,2.387E-4,2.303,-8.340
10,1,20,1.277,20,2.984E-5,2.996,-10.420
20,1,30,0.849,30,8.842E-6,3.401,-11.636
30,1,40,0.646,40,3.730E-6,3.689,-12.499
40,1,50,1.050,50,1.910E-6,3.912,-13.168
50,1,60,1.979,60,1.105E-6,4.094,-13.715
60,1,70,3.115,70,2.784E-6,4.248,-12.792
70,4,80,4.128,80,1.865E-6,4.382,-13.192
80,4,90,4.811,90,1.637E-6,4.500,-13.322
90,5,100,5.139,100,1.194E-6,4.605,-13.638
100,5,110,5.208,110,8.968E-7,4.700,-13.924
110,5,120,5.125,120,6.908E-7,4.787,-14.185
120,5,130,4.873,130,5.433E-7,4.868,-14.426
130,5,140,4.261,140,4.350E-7,4.942,-14.648
140,5,150,3.058,150,1.415E-7,5.011,-15.771
150,2,160,1.467,160,1.166E-7,5.075,-15.965
160,2,170,1.096,170,4.859E-8,5.136,-16.840
170,1,NaN,NaN,NaN,NaN,NaN,NaN
