Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,4.042,10,9.549E-4,2.303,-6.954
10,4,20,3.949,20,1.194E-4,2.996,-9.033
20,4,30,2.734,30,2.653E-5,3.401,-10.537
30,3,40,2.228,40,7.460E-6,3.689,-11.806
40,2,50,2.358,50,1.910E-6,3.912,-13.168
50,1,60,2.583,60,5.526E-6,4.094,-12.106
60,5,70,2.548,70,1.392E-6,4.248,-13.485
70,2,80,2.248,80,4.663E-7,4.382,-14.578
80,1,90,1.914,90,9.824E-7,4.500,-13.833
90,3,100,1.804,100,2.387E-7,4.605,-15.248
100,1,110,2.023,110,1.794E-7,4.700,-15.534
110,1,120,2.448,120,8.289E-7,4.787,-14.003
120,6,130,2.793,130,1.087E-7,4.868,-16.035
130,1,140,2.780,140,8.700E-8,4.942,-16.257
140,1,150,2.347,150,2.829E-7,5.011,-15.078
150,4,160,1.778,160,1.166E-7,5.075,-15.965
160,2,170,1.574,170,4.859E-8,5.136,-16.840
170,1,180,1.850,180,8.187E-8,5.193,-16.318
180,2,NaN,NaN,NaN,NaN,NaN,NaN
