Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Area,Inters./Area,log(Radius),log(Inters./Area)
0,4,10,3.005,10,0.010,2.303,-4.651
10,3,20,1.055,20,7.958E-4,2.996,-7.136
20,1,30,1.664,30,7.074E-4,3.401,-7.254
30,2,40,2.472,40,3.979E-4,3.689,-7.829
40,2,50,3.235,50,3.820E-4,3.912,-7.870
50,3,60,4.125,60,4.421E-4,4.094,-7.724
60,5,70,5.073,70,3.248E-4,4.248,-8.032
70,5,80,5.737,80,2.487E-4,4.382,-8.299
80,5,90,5.751,90,2.358E-4,4.500,-8.353
90,6,100,5.007,100,1.592E-4,4.605,-8.746
100,5,110,3.796,110,1.052E-4,4.700,-9.159
110,4,120,2.728,120,6.631E-5,4.787,-9.621
120,3,130,2.442,130,3.767E-5,4.868,-10.187
130,2,140,3.200,140,4.872E-5,4.942,-9.929
140,3,150,4.532,150,7.074E-5,5.011,-9.557
150,5,160,5.216,160,6.217E-5,5.075,-9.686
160,5,170,3.934,170,4.406E-5,5.136,-10.030
170,4,180,1.040,180,9.824E-6,5.193,-11.531
180,1,190,1.988,190,1.763E-5,5.247,-10.946
190,2,NaN,NaN,NaN,NaN,NaN,NaN
