Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,2.985,10,7.162E-4,2.303,-7.242
10,3,20,1.066,20,2.984E-5,2.996,-10.420
20,1,30,0.908,30,8.842E-6,3.401,-11.636
30,1,40,1.033,40,3.730E-6,3.689,-12.499
40,1,50,1.027,50,1.910E-6,3.912,-13.168
50,1,60,0.955,60,1.105E-6,4.094,-13.715
60,1,70,0.996,70,6.960E-7,4.248,-14.178
70,1,80,1.242,80,4.663E-7,4.382,-14.578
80,1,90,1.639,90,6.550E-7,4.500,-14.239
90,2,100,2.024,100,4.775E-7,4.605,-14.555
100,2,110,2.207,110,3.587E-7,4.700,-14.841
110,2,120,2.077,120,2.763E-7,4.787,-15.102
120,2,130,1.677,130,2.173E-7,4.868,-15.342
130,2,140,1.211,140,8.700E-8,4.942,-16.257
140,1,150,0.953,150,7.074E-8,5.011,-16.464
150,1,160,1.001,160,5.828E-8,5.075,-16.658
160,1,NaN,NaN,NaN,NaN,NaN,NaN
