Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,4.052,10,9.549E-4,2.303,-6.954
10,4,20,4.626,20,1.492E-4,2.996,-8.810
20,5,30,3.127,30,1.768E-5,3.401,-10.943
30,2,40,3.231,40,1.865E-5,3.689,-10.890
40,5,50,2.361,50,1.910E-6,3.912,-13.168
50,1,60,0.931,60,1.105E-6,4.094,-13.715
60,1,70,1.185,70,1.392E-6,4.248,-13.485
70,2,80,2.719,80,9.325E-7,4.382,-13.885
80,2,90,1.728,90,6.550E-7,4.500,-14.239
90,2,100,1.040,100,2.387E-7,4.605,-15.248
100,1,NaN,NaN,NaN,NaN,NaN,NaN
