Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,3,10,0.999,10,2.387E-4,2.303,-8.340
10,1,20,0.993,20,2.984E-5,2.996,-10.420
20,1,30,1.018,30,8.842E-6,3.401,-11.636
30,1,40,1.006,40,3.730E-6,3.689,-12.499
40,1,50,0.985,50,1.910E-6,3.912,-13.168
50,1,60,0.982,60,1.105E-6,4.094,-13.715
60,1,70,0.993,70,6.960E-7,4.248,-14.178
70,1,80,1.001,80,4.663E-7,4.382,-14.578
80,1,90,1.011,90,3.275E-7,4.500,-14.932
90,1,100,1.058,100,2.387E-7,4.605,-15.248
100,1,110,1.207,110,1.794E-7,4.700,-15.534
110,1,120,1.512,120,2.763E-7,4.787,-15.102
120,2,130,1.977,130,2.173E-7,4.868,-15.342
130,2,140,2.501,140,1.740E-7,4.942,-15.564
140,2,150,2.865,150,2.122E-7,5.011,-15.366
150,3,160,2.785,160,1.749E-7,5.075,-15.559
160,3,170,2.085,170,9.718E-8,5.136,-16.147
170,2,180,1.041,180,4.093E-8,5.193,-17.011
180,1,190,0.980,190,3.481E-8,5.247,-17.173
190,1,NaN,NaN,NaN,NaN,NaN,NaN
