Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,2.029,10,4.775E-4,2.303,-7.647
10,2,20,0.977,20,2.984E-5,2.996,-10.420
20,1,30,0.839,30,8.842E-6,3.401,-11.636
30,1,40,1.094,40,3.730E-6,3.689,-12.499
40,1,50,1.423,50,1.910E-6,3.912,-13.168
50,1,60,1.677,60,2.210E-6,4.094,-13.022
60,2,70,1.834,70,1.392E-6,4.248,-13.485
70,2,80,1.936,80,9.325E-7,4.382,-13.885
80,2,90,2.041,90,6.550E-7,4.500,-14.239
90,2,100,2.181,100,4.775E-7,4.605,-14.555
100,2,110,2.345,110,3.587E-7,4.700,-14.841
110,2,120,2.476,120,4.145E-7,4.787,-14.696
120,3,130,2.496,130,2.173E-7,4.868,-15.342
130,2,140,2.338,140,2.610E-7,4.942,-15.159
140,3,150,1.986,150,1.415E-7,5.011,-15.771
150,2,160,1.503,160,5.828E-8,5.075,-16.658
160,1,170,1.037,170,4.859E-8,5.136,-16.840
170,1,180,0.783,180,4.093E-8,5.193,-17.011
180,1,190,0.874,190,3.481E-8,5.247,-17.173
190,1,200,1.176,200,2.984E-8,5.298,-17.327
200,1,210,0.956,210,2.578E-8,5.347,-17.474
210,1,NaN,NaN,NaN,NaN,NaN,NaN
