Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,4.013,10,9.549E-4,2.303,-6.954
10,4,20,3.927,20,1.194E-4,2.996,-9.033
20,4,30,2.125,30,1.768E-5,3.401,-10.943
30,2,40,1.009,40,3.730E-6,3.689,-12.499
40,1,50,0.811,50,1.910E-6,3.912,-13.168
50,1,60,1.027,60,1.105E-6,4.094,-13.715
60,1,70,1.172,70,6.960E-7,4.248,-14.178
70,1,80,1.071,80,4.663E-7,4.382,-14.578
80,1,90,0.850,90,3.275E-7,4.500,-14.932
90,1,100,0.774,100,2.387E-7,4.605,-15.248
100,1,110,1.049,110,1.794E-7,4.700,-15.534
110,1,120,1.672,120,1.382E-7,4.787,-15.795
120,1,130,2.392,130,3.260E-7,4.868,-14.936
130,3,140,2.800,140,2.610E-7,4.942,-15.159
140,3,150,2.553,150,1.415E-7,5.011,-15.771
150,2,160,1.701,160,1.166E-7,5.075,-15.965
160,2,170,1.055,170,4.859E-8,5.136,-16.840
170,1,NaN,NaN,NaN,NaN,NaN,NaN
