Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,7,10,4.906,10,0.001,2.303,-6.731
10,5,20,3.435,20,8.952E-5,2.996,-9.321
20,3,30,2.261,30,2.653E-5,3.401,-10.537
30,3,40,1.469,40,3.730E-6,3.689,-12.499
40,1,50,1.048,50,1.910E-6,3.912,-13.168
50,1,60,0.908,60,1.105E-6,4.094,-13.715
60,1,70,0.929,70,6.960E-7,4.248,-14.178
70,1,80,0.997,80,4.663E-7,4.382,-14.578
80,1,90,1.040,90,3.275E-7,4.500,-14.932
90,1,100,1.034,100,2.387E-7,4.605,-15.248
100,1,110,0.999,110,1.794E-7,4.700,-15.534
110,1,120,0.973,120,1.382E-7,4.787,-15.795
120,1,130,0.981,130,1.087E-7,4.868,-16.035
130,1,140,1.014,140,8.700E-8,4.942,-16.257
140,1,150,1.023,150,7.074E-8,5.011,-16.464
150,1,160,0.980,160,5.828E-8,5.075,-16.658
160,1,170,1.005,170,4.859E-8,5.136,-16.840
170,1,NaN,NaN,NaN,NaN,NaN,NaN
