Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,5,10,2.016,10,4.775E-4,2.303,-7.647
10,2,20,0.911,20,2.984E-5,2.996,-10.420
20,1,30,1.230,30,8.842E-6,3.401,-11.636
30,1,40,1.583,40,7.460E-6,3.689,-11.806
40,2,50,1.599,50,1.910E-6,3.912,-13.168
50,1,60,1.419,60,2.210E-6,4.094,-13.022
60,2,70,1.239,70,6.960E-7,4.248,-14.178
70,1,80,1.096,80,4.663E-7,4.382,-14.578
80,1,90,0.938,90,3.275E-7,4.500,-14.932
90,1,100,0.857,100,2.387E-7,4.605,-15.248
100,1,110,1.178,110,1.794E-7,4.700,-15.534
110,1,120,1.922,120,2.763E-7,4.787,-15.102
120,2,130,1.013,130,1.087E-7,4.868,-16.035
130,1,NaN,NaN,NaN,NaN,NaN,NaN
