Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,4,10,2.031,10,4.775E-4,2.303,-7.647
10,2,20,2.818,20,8.952E-5,2.996,-9.321
20,3,30,1.422,30,8.842E-6,3.401,-11.636
30,1,40,0.598,40,3.730E-6,3.689,-12.499
40,1,50,0.857,50,1.910E-6,3.912,-13.168
50,1,60,1.716,60,1.105E-6,4.094,-13.715
60,1,70,2.500,70,2.088E-6,4.248,-13.079
70,3,80,2.767,80,1.399E-6,4.382,-13.480
80,3,90,2.451,90,6.550E-7,4.500,-14.239
90,2,100,1.794,100,4.775E-7,4.605,-14.555
100,2,110,1.169,110,1.794E-7,4.700,-15.534
110,1,120,0.864,120,1.382E-7,4.787,-15.795
120,1,130,0.918,130,1.087E-7,4.868,-16.035
130,1,140,1.093,140,8.700E-8,4.942,-16.257
140,1,150,1.064,150,7.074E-8,5.011,-16.464
150,1,160,0.916,160,5.828E-8,5.075,-16.658
160,1,170,2.022,170,9.718E-8,5.136,-16.147
170,2,NaN,NaN,NaN,NaN,NaN,NaN
