Radius,Inters.,Radius (Polyn. fit),Inters. (Polyn. fit),Radius (norm)Volume,Inters./Volume,log(Radius),log(Inters./Volume)
0,6,10,3.963,10,9.549E-4,2.303,-6.954
10,4,20,2.221,20,5.968E-5,2.996,-9.726
20,2,30,1.547,30,1.768E-5,3.401,-10.943
30,2,40,1.289,40,3.730E-6,3.689,-12.499
40,1,50,1.119,50,1.910E-6,3.912,-13.168
50,1,60,0.956,60,1.105E-6,4.094,-13.715
60,1,70,0.851,70,6.960E-7,4.248,-14.178
70,1,80,0.880,80,4.663E-7,4.382,-14.578
80,1,90,1.074,90,3.275E-7,4.500,-14.932
90,1,100,1.384,100,2.387E-7,4.605,-15.248
100,1,110,1.706,110,3.587E-7,4.700,-14.841
110,2,120,1.937,120,2.763E-7,4.787,-15.102
120,2,130,2.033,130,2.173E-7,4.868,-15.342
130,2,140,2.041,140,1.740E-7,4.942,-15.564
140,2,150,2.042,150,1.415E-7,5.011,-15.771
150,2,160,1.939,160,1.166E-7,5.075,-15.965
160,2,170,1.017,170,4.859E-8,5.136,-16.840
170,1,NaN,NaN,NaN,NaN,NaN,NaN
